gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	timeframe_citation_count	previous_timeframe_citation_count	citation_count_delta	significance	gene_rank	previous_gene_rank	rank_delta
GGTA1	D4	82623517	20236	#73af42	alpha-1,3-galactosyltransferase	30	0	0	0		3	9	-6
LOC100533977	D4	95285278	3555	#73af42	Fel d 7 allergen	30	0	0	0		3	9	-6
PTGDS	D4	95575181	3344	#73af42	prostaglandin D2 synthase	30	0	0	0		3	9	-6
TNFSF13	E1	2464022	2040	#73af42	TNF superfamily member 13	30	0	0	0		3	9	-6
CXCL8	B1	148127536	2803	#73af42	C-X-C motif chemokine ligand 8	30	0	0	0		3	9	-6
EFNB3	E1	2566153	3968	#73af42	ephrin B3	30	0	0	0		3	9	-6
TVP23B	E1	9147100	23069	#73af42	trans-golgi network vesicle protein 23 homolog B	30	0	0	0		3	9	-6
ITGAE	E1	13356266	63194	#73af42	integrin subunit alpha E	30	0	0	0		3	9	-6
FTH1	D1	108012164	2514	#73af42	ferritin heavy chain 1	30	0	0	0		3	9	-6
LOC100302540	E1	23406673	1397	#73af42	chemokine (C-C motif) ligand 3-like	30	0	0	0		3	9	-6
LOC100302541	E1	23417954	1335	#73af42	chemokine (C-C motif) ligand 4-like	30	0	0	0		3	9	-6
PAFAH1B1	E1	14277909	35917	#73af42	platelet activating factor acetylhydrolase 1b regulatory subunit 1	30	0	0	0		3	9	-6
PPARG	A2	53352969	74691	#73af42	peroxisome proliferator activated receptor gamma	30	0	0	0		3	9	-6
SIRT3	D1	116932861	18978	#73af42	sirtuin 3	30	0	0	0		3	9	-6
PDCD1LG2	D4	6188885	56306	#73af42	programmed cell death 1 ligand 2	30	0	0	0		3	9	-6
ERBB2	E1	40780250	23348	#73af42	erb-b2 receptor tyrosine kinase 2	30	0	0	0		3	9	-6
CD34	F1	37008490	22341	#73af42	CD34 molecule	30	0	0	0		3	9	-6
GAD1	C1	162083872	41341	#73af42	glutamate decarboxylase 1	30	0	0	0		3	9	-6
IFNG	B4	95329479	4591	#73af42	interferon gamma	30	0	0	0		3	9	-6
CASP4	D1	3190357	14070	#73af42	caspase 4	30	0	0	0		3	9	-6
OAZ3	C1	106793879	3250	#73af42	ornithine decarboxylase antizyme 3	30	0	0	0		3	9	-6
EPO	E3	7848420	1917	#73af42	erythropoietin	30	0	0	0		3	9	-6
LOC493964	X	23749454	2207	#73af42	melanoma antigen MAGE	30	0	0	0		3	9	-6
UTS2R	E1	63474662	1124	#73af42	urotensin 2 receptor	30	0	0	0		3	9	-6
FELCATV1R11	E2	1443094	917	#73af42	vomeronasal 1 receptor felCatV1R11	30	0	0	0		3	9	-6
FELCATV1R4	E2	1491883	929	#73af42	vomeronasal 1 receptor felCatV1R4	30	0	0	0		3	9	-6
FELCATV1R5	E2	2989244	908	#73af42	vomeronasal 1 receptor felCatV1R5	30	0	0	0		3	9	-6
FELCATV1R17	E2	4470048	944	#73af42	vomeronasal 1 receptor felCatV1R17	30	0	0	0		3	9	-6
FELCATV1R6	E2	5444071	932	#73af42	vomeronasal 1 receptor felCatV1R6	30	0	0	0		3	9	-6
FELCATV1R8	E2	56996	920	#73af42	vomeronasal 1 receptor felCatV1R8	30	0	0	0		3	9	-6
CASP12	D1	3165343	15748	#73af42	caspase 12	30	0	0	0		3	9	-6
FELCATV1R9	E2	6300748	944	#73af42	vomeronasal 1 receptor felCatV1R9	30	0	0	0		3	9	-6
FELCATV1R12	E2	6361819	959	#73af42	vomeronasal 1 receptor felCatV1R12	30	0	0	0		3	9	-6
FELCATV1R7	E2	6375189	962	#73af42	vomeronasal 1 receptor felCatV1R7	30	0	0	0		3	9	-6
FELCATV1R13	E2	6402104	950	#73af42	vomeronasal 1 receptor felCatV1R13	30	0	0	0		3	9	-6
ANXA1	D4	15301893	14807	#73af42	annexin A1	30	0	0	0		3	9	-6
GAP43	C2	62047686	102066	#73af42	growth associated protein 43	30	0	0	0		3	9	-6
UGT1A1	C1	216317697	14447	#73af42	UDP glucuronosyltransferase 1 family, polypeptide A1	30	0	0	0		3	9	-6
LAMP1	A1	82349958	17133	#73af42	lysosomal associated membrane protein 1	30	0	0	0		3	9	-6
SLC1A5	E2	10453499	10517	#73af42	solute carrier family 1 member 5	30	0	0	0		3	9	-6
FELCATV1R1	E2	12577985	908	#73af42	vomeronasal 1 receptor felCatV1R1	30	0	0	0		3	9	-6
FFAR1	E2	18218413	1857	#73af42	free fatty acid receptor 1	30	0	0	0		3	9	-6
FFAR4	D2	55749712	18411	#73af42	free fatty acid receptor 4	30	0	0	0		3	9	-6
LPAR6	A1	22918806	1538	#73af42	lysophosphatidic acid receptor 6	30	0	0	0		3	9	-6
TRIM32	D4	78352092	2010	#73af42	tripartite motif containing 32	30	0	0	0		3	9	-6
RPS7	A3	140876546	5594	#73af42	ribosomal protein S7	30	0	0	0		3	9	-6
CBFB	E2	44803946	54775	#73af42	core-binding factor subunit beta	30	0	0	0		3	9	-6
RANBP10	E2	45371546	60815	#73af42	RAN binding protein 10	30	0	0	0		3	9	-6
CHN1	C1	165650221	49298	#73af42	chimerin 1	30	0	0	0		3	9	-6
CST3	A3	48703413	4192	#73af42	cystatin C	30	0	0	0		3	9	-6
FLVCR1	F1	32685692	34708	#73af42	FLVCR heme transporter 1	30	0	0	0		3	9	-6
CTLA4	C1	190654950	6202	#73af42	cytotoxic T-lymphocyte associated protein 4	30	0	0	0		3	9	-6
CAMP	A2	17505977	2172	#73af42	cathelicidin antimicrobial peptide	30	0	0	0		3	9	-6
PDE5A	B1	106654825	137863	#73af42	phosphodiesterase 5A	30	0	0	0		3	9	-6
MLN	B2	35334150	9525	#73af42	motilin	30	0	0	0		3	9	-6
MDH2	E3	9440054	15750	#73af42	malate dehydrogenase 2	30	0	0	0		3	9	-6
MYOC	F1	15869496	14259	#73af42	myocilin	30	0	0	0		3	9	-6
CMAH	B2	4877564	113206	#73af42	cytidine monophospho-N-acetylneuraminic acid hydroxylase	30	0	0	0		3	9	-6
MVP	E3	21257685	16990	#73af42	major vault protein	30	0	0	0		3	9	-6
BRCA2	A1	11563272	59239	#73af42	BRCA2 DNA repair associated	30	0	0	0		3	9	-6
TLR3	B1	17007778	7786	#73af42	toll like receptor 3	30	0	0	0		3	9	-6
TNFSF4	F1	17303330	19045	#73af42	TNF superfamily member 4	30	0	0	0		3	9	-6
PADI6	C1	12457032	21923	#73af42	peptidyl arginine deiminase 6	30	0	0	0		3	9	-6
FTL	E2	8858618	1210	#73af42	ferritin light chain	30	0	0	0		3	9	-6
TSHB	C1	98712372	834	#73af42	thyroid stimulating hormone subunit beta	30	0	0	0		3	9	-6
FSHR	A3	70631854	170427	#73af42	follicle stimulating hormone receptor	30	0	0	0		3	9	-6
UGT1A	-	216305993	26151	#73af42	UDP-glucuronosyltransferase 1A	30	0	0	0		3	9	-6
SLC19A2	F1	14056883	23244	#73af42	solute carrier family 19 member 2	30	0	0	0		3	9	-6
TETY1	Y	3297587	23106	#73af42	testis expressed transcript on Y 1	30	0	0	0		3	9	-6
CACNA1S	F1	41904031	65374	#73af42	calcium voltage-gated channel subunit alpha1 S	30	0	0	0		3	9	-6
TNNT2	F1	42194974	13483	#73af42	troponin T2, cardiac type	30	0	0	0		3	9	-6
ADIPOR1	F1	43600241	7143	#73af42	adiponectin receptor 1	30	0	0	0		3	9	-6
ETFA	B3	31190722	76378	#73af42	electron transfer flavoprotein subunit alpha	30	0	0	0		3	9	-6
FCGR3A	F1	65743380	6169	#73af42	Fc fragment of IgG receptor IIIa	30	0	0	0		3	9	-6
ALB	B1	148407709	15362	#73af42	albumin	30	0	0	0		3	9	-6
SLAMF1	F1	66414864	33308	#73af42	signaling lymphocytic activation molecule family member 1	30	0	0	0		3	9	-6
S100A12	F1	71639924	772	#73af42	S100 calcium binding protein A12	30	0	0	0		3	9	-6
CRH	F2	18746066	620	#73af42	corticotropin releasing hormone	30	0	0	0		3	9	-6
ELOC	F2	25630517	7209	#73af42	elongin C	30	0	0	0		3	9	-6
AZIN1	F2	50745747	30825	#73af42	antizyme inhibitor 1	30	0	0	0		3	9	-6
CAPZA2	A2	136837678	60806	#73af42	capping actin protein of muscle Z-line subunit alpha 2	30	0	0	0		3	9	-6
LIX1	A1	161161088	52749	#73af42	limb and CNS expressed 1	30	0	0	0		3	9	-6
F11R	F1	66184009	23091	#73af42	F11 receptor	30	0	0	0		3	9	-6
FELCATV1R3	X	21603090	902	#73af42	vomeronasal 1 receptor felCatV1R3	30	0	0	0		3	9	-6
FOXP3	X	43238199	12802	#73af42	forkhead box P3	30	0	0	0		3	9	-6
BMP15	X	44645465	4707	#73af42	bone morphogenetic protein 15	30	0	0	0		3	9	-6
OPN4	D2	46943419	11024	#73af42	opsin 4	30	0	0	0		3	9	-6
BCHE	C2	102081223	65969	#73af42	butyrylcholinesterase	30	0	0	0		3	9	-6
IL2RA	B4	5445588	54067	#73af42	interleukin 2 receptor subunit alpha	30	0	0	0		3	9	-6
CD8A	A3	103823408	5021	#73af42	CD8a molecule	30	0	0	0		3	9	-6
KIT	B1	163952978	86359	#73af42	KIT proto-oncogene, receptor tyrosine kinase	30	0	0	0		3	9	-6
LEP	A2	146571387	4010	#73af42	leptin	30	0	0	0		3	9	-6
TPMT	B2	11467535	25497	#73af42	thiopurine S-methyltransferase	30	0	0	0		3	9	-6
TNF	B2	32583572	1767	#73af42	tumor necrosis factor	30	0	0	0		3	9	-6
IL12A	C2	107221314	6897	#73af42	interleukin 12A	30	0	0	0		3	9	-6
TLR4	D4	79270745	10740	#73af42	toll like receptor 4	30	0	0	0		3	9	-6
IL10	F1	37878797	3890	#73af42	interleukin 10	30	0	0	0		3	9	-6
GADD45A	C1	56359924	2507	#73af42	growth arrest and DNA damage inducible alpha	30	0	0	0		3	9	-6
IL18	D1	10129038	9141	#73af42	interleukin 18	30	0	0	0		3	9	-6
IL15	B1	86777375	12455	#73af42	interleukin 15	30	0	0	0		3	9	-6
CD4	B4	41839409	46226	#73af42	CD4 molecule	30	0	0	0		3	9	-6
CES1	E2	35205648	30553	#73af42	carboxylesterase 1	30	0	0	0		3	9	-6
KCNE1	C2	11009600	389	#73af42	potassium voltage-gated channel subfamily E regulatory subunit 1	30	0	0	0		3	9	-6
BAX	E2	8862813	3610	#73af42	BCL2 associated X, apoptosis regulator	30	0	0	0		3	9	-6
LOC493792	X	22348251	8470	#73af42	melanoma antigen 2	30	0	0	0		3	9	-6
PTH	D1	71744585	2743	#73af42	parathyroid hormone	30	0	0	0		3	9	-6
CD52	C1	19821349	1654	#73af42	CD52 molecule	30	0	0	0		3	9	-6
ASIP	A3	25082293	4396	#73af42	agouti signaling protein	30	0	0	0		3	9	-6
CES5A	E2	35249443	27022	#73af42	carboxylesterase 5A	30	0	0	0		3	9	-6
BCL2L1	A3	27267690	45588	#73af42	BCL2 like 1	30	0	0	0		3	9	-6
MAN2B1	A2	9005210	15859	#73af42	mannosidase alpha class 2B member 1	30	0	0	0		3	9	-6
SMYHC	E3	6504734	66206	#73af42	superfast myosin heavy chain	30	0	0	0		3	9	-6
ATP2A2	D3	8502479	59239	#73af42	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	30	0	0	0		3	9	-6
TNFRSF4	C1	313883	6324	#73af42	TNF receptor superfamily member 4	30	0	0	0		3	9	-6
SLC30A8	F2	63446792	46282	#73af42	solute carrier family 30 member 8	30	0	0	0		3	9	-6
LRCH1	A1	24435212	203311	#73af42	leucine rich repeats and calponin homology domain containing 1	30	0	0	0		3	9	-6
LOC115945194	B2	4145485	367	#73af42	histone H4	30	0	0	0		3	9	-6
LOC115945195	B2	4151925	419	#73af42	histone H4	30	0	0	0		3	9	-6
MYLK	C2	69328548	185931	#73af42	myosin light chain kinase	30	0	0	0		3	9	-6
XNDC1	D1	61815480	16602	#73af42	Xrcc1 N-terminal domain containing 1	30	0	0	0		3	9	-6
TRPC2	D1	61832863	20861	#73af42	short transient receptor potential channel 2	30	0	0	0		3	9	-6
LOC116186940		75688546	13803	#73af42		30	0	0	0		-1	-1	-1
TP53	E1	2539271	11938	#73af42	tumor protein p53	30	0	5	-5		3	3	0
