## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
TRA	7	7	2129	15745	10	7	1726	-1280
TEAD4	7	-2	2129	86	1	-1	6707	3101
TECTA	7	7	2129	15745	3	1	4059	458
TERF1	7	-1	2129	789	2	-1	5088	2347
TF	7	-1	2129	789	190	64	80	-8
TFAP2B	7	7	2129	15745	2	2	5094	-2636
TG	7	1	2129	3713	166	61	92	-24
TGFA	7	-1	2129	789	33	6	573	110
TGFBR2	7	-4	2129	-779	22	20	856	-2813
TGM1	7	7	2129	15745	4	3	3427	-1772
TGM2	7	-6	2129	-1233	53	16	368	38
TGM3	7	2	2129	6747	4	2	3355	-244
TIAL1	7	0	2129	1873	0	0	9223	1449
TLE3	7	0	2129	1873	0	0	9194	1453
TMF1	7	1	2129	3713	0	-2	9220	5594
TMSB4X	7	-1	2129	789	54	11	354	63
CLDN5	7	-1	2129	789	9	2	1827	349
TNNI2	7	7	2129	15745	9	8	1826	-3279
TNNT2	7	-1	2129	789	13	5	1369	46
TOP3A	7	0	2129	1873	1	-1	6804	3106
TP53BP1	7	-2	2129	86	34	17	559	-134
TPD52	7	-4	2129	-779	2	1	5177	-18
TPM4	7	-3	2129	-426	1	1	6803	-1156
TRIO	7	1	2129	3713	6	4	2520	-1062
TSN	7	-1	2129	789	2	-2	5184	2878
DNAJC7	7	-10	2129	-1743	0	0	9690	1200
UBE2A	7	0	2129	1873	4	3	3519	-1949
UBE2G2	7	1	2129	3713	2	2	5348	-3173
UBE2I	7	-5	2129	-1045	3	1	4262	408
UBE2V2	7	1	2129	3713	2	2	5342	-3166
UBTF	7	-5	2129	-1045	5	3	2956	-905
UGDH	7	-5	2129	-1045	7	3	2128	27
UGT2B17	7	7	2129	15745	3	2	4312	-1315
UMOD	7	-1	2129	789	51	23	377	-67
UCK2	7	0	2129	1873	4	3	3554	-2062
USP4	7	1	2129	3713	0	0	9920	1053
UQCRC1	7	-9	2129	-1647	3	0	4304	1375
KDM6A	7	-6	2129	-1233	9	6	1872	-1056
VARS1	7	-6	2129	-1233	3	3	4266	-4275
VASP	7	-3	2129	-426	7	2	2143	330
VAV2	7	7	2129	15745	1	1	7124	-1554
VIPR2	7	2	2129	6747	5	3	2995	-941
VRK2	7	2	2129	6747	3	3	4321	-4633
VSNL1	7	0	2129	1873	2	-1	5446	2506
WARS1	7	-6	2129	-1233	3	-1	4122	1822
CLIP2	7	1	2129	3713	0	0	9961	1026
NELFA	7	0	2129	1873	0	-1	9985	4315
WNT1	7	0	2129	1873	5	-1	2993	1272
WNT2B	7	0	2129	1873	1	0	7280	1593
WT1	7	-5	2129	-1045	11	3	1521	253
XPA	7	-3	2129	-426	14	-6	1306	710
XRCC1	7	-10	2129	-1743	17	1	1080	339
XRCC3	7	-2	2129	86	5	2	3029	32
YES1	7	-4	2129	-779	5	-1	3028	1288
YWHAB	7	-6	2129	-1233	3	2	4394	-1455
ZNF146	7	1	2129	3713	0	0	9667	1207
ZNF148	7	0	2129	1873	0	-2	9684	5839
ZNF154	7	7	2129	15745	0	0
VEZF1	7	0	2129	1873	1	1	6939	-1343
ZNF207	7	0	2129	1873	5	5	2934	-5321
SLC30A1	7	2	2129	6747	1	0	7402	1591
ZYX	7	-1	2129	789	7	4	2340	-646
LUZP1	7	0	2129	1873	0	0
REEP5	7	2	2129	6747	0	0	10113	949
ALDH5A1	7	-2	2129	86	0	0	10109	953
BAG6	7	-10	2129	-1743	0	-1	10133	4368
SLC39A7	7	1	2129	3713	0	0	10117	948
TFEB	7	-6	2129	-1233	21	9	892	-50
BRD3	7	7	2129	15745	3	2	4398	-1460
NUP214	7	-7	2129	-1397	2	2	5600	-3853
ADAM12	7	-1	2129	789	4	-5	3475	2266
CUL5	7	-5	2129	-1045	4	4	3480	-4761
MLF2	7	-2	2129	86	0	0
HMGA2	7	-9	2129	-1647	23	14	831	-415
IFT88	7	0	2129	1873	5	5	2933	-5315
AKAP1	7	2	2129	6747	3	1	4172	428
SYMPK	7	-7	2129	-1397	0	0	9416	1321
LZTR1	7	2	2129	6747	10	10	1704	-6412
ESS2	7	-1	2129	789	0	0	9439	1317
TRRAP	7	-5	2129	-1045	8	5	2050	-849
FZD8	7	7	2129	15745	0	-2	10213	6200
H2AC6	7	2	2129	6747	0	0	10157	930
SLC25A11	7	-9	2129	-1647	1	1	6283	-608
TAGLN2	7	-7	2129	-1397	2	2	5418	-3385
EEA1	7	0	2129	1873	10	2	1693	368
CAVIN2	7	1	2129	3713	4	3	3548	-2048
RAD54L	7	1	2129	3713	2	2	5420	-3387
DHX16	7	-1	2129	789	0	-1	10032	4333
CUL2	7	-7	2129	-1397	7	5	2339	-1678
FKBP6	7	7	2129	15745	0	0
CDC42BPA	7	-3	2129	-426	2	0	5540	1535
HIRIP3	7	1	2129	3713	1	1	7404	-1899
RAE1	7	-8	2129	-1534	1	-1	7401	3389
PPFIA1	7	-3	2129	-426	1	0	7740	1655
IFITM1	7	0	2129	1873	13	12	1406	-4667
AGPS	7	-2	2129	86	0	0
AP3B1	7	-2	2129	86	3	3	4465	-5479
MAPKAPK5	7	-1	2129	789	7	3	2360	-66
YARS1	7	-4	2129	-779	2	-2	6084	3598
RRP1	7	-2	2129	86	0	-2	9850	5949
PRKRA	7	-9	2129	-1647	0	0	9854	1105
KLF7	7	0	2129	1873	3	2	4290	-1288
PLPP2	7	7	2129	15745	0	0	9841	1103
USO1	7	-4	2129	-779	2	1	5520	-250
TP63	7	-12	2129	-1851	35	10	551	57
PTCH2	7	7	2129	15745	2	1	5524	-253
LAMTOR3	7	2	2129	6747	0	0	10168	929
NUMB	7	-5	2129	-1045	12	7	1484	-522
DYNLL1	7	-4	2129	-779	1	1	7149	-1576
EIF3F	7	-8	2129	-1534	1	1	7145	-1572
VAMP8	7	2	2129	6747	0	-1	9802	4250
SERPINB7	7	1	2129	3713	2	2	5514	-3657
NOL4	7	1	2129	3713	0	0	10130	937
EDF1	7	-1	2129	789	2	2	5515	-3659
GBF1	7	-1	2129	789	0	0	10104	956
RNMT	7	1	2129	3713	3	2	3829	-688
SIGLEC5	7	1	2129	3713	0	0	10360	838
SUCLA2	7	-2	2129	86	3	0	4412	1398
CES2	7	0	2129	1873	2	1	5567	-268
GGH	7	-2	2129	86	16	9	1155	-380
CCN4	7	1	2129	3713	3	-2	4460	2422
HDAC3	7	-9	2129	-1647	12	7	1492	-544
ALDH1A2	7	2	2129	6747	4	1	3653	602
PER3	7	2	2129	6747	15	2	1178	319
SGPL1	7	-5	2129	-1045	1	0	7630	1644
CDC16	7	-1	2129	789	6	6	2648	-7264
EIF2B4	7	-1	2129	789	1	1	7763	-2471
CPNE3	7	-2	2129	86	1	1	7755	-2463
PRPF4B	7	-3	2129	-426	0	-1	10848	4734
AP1M1	7	-1	2129	789	1	1	7767	-2478
HERC3	7	0	2129	1873	2	2	5793	-4456
FOXH1	7	3	2129	15286	0	-2	10827	6643
MBD4	7	7	2129	15745	2	1	5766	-304
WASF1	7	2	2129	6747	3	2	3845	-723
P4HA2	7	-2	2129	86	1	-2	7719	4649
USP13	7	0	2129	1873	1	1	7708	-2411
HAP1	7	7	2129	15745	0	-1	9315	4152
SPAG9	7	-1	2129	789	1	1	6781	-1133
AIP	7	-3	2129	-426	5	0	2890	968
ASH2L	7	-2	2129	86	0	-1	9312	4153
CLDN6	7	-1	2129	789	7	3	2259	-37
USP6	7	1	2129	3713	4	-4	3459	2121
USP8	7	-7	2129	-1397	2	1	5244	-69
RGN	7	1	2129	3713	3	0	4223	1357
SMC3	7	-9	2129	-1647	8	6	2041	-1762
PRPF4	7	-3	2129	-426	0	-1	9451	4160
FAM50A	7	2	2129	6747	1	0	6914	1583
RRP9	7	-1	2129	789	0	0	9509	1293
PDCD5	7	0	2129	1873	1	1	6926	-1324
DGKI	7	7	2129	15745	0	0
EBAG9	7	2	2129	6747	0	0	9520	1283
COX7A2L	7	7	2129	15745	0	0	9532	1278
SCAF11	7	0	2129	1873	1	1	6927	-1324
ARHGEF2	7	-1	2129	789	1	-1	6327	3023
ZMYM4	7	-5	2129	-1045	0	0
ZMYM3	7	-3	2129	-426	1	-1	6946	3152
LRRFIP2	7	0	2129	1873	0	0
VAPB	7	-5	2129	-1045	1	-1	6941	3152
PDLIM7	7	0	2129	1873	0	0	9595	1232
TRIP13	7	-8	2129	-1534	4	4	3540	-5194
HMGN3	7	0	2129	1873	2	2	5405	-3355
GTF3C5	7	-4	2129	-779	1	1	7171	-1603
GTF3C4	7	-3	2129	-426	0	0	9848	1106
SNAP29	7	1	2129	3713	2	0	5528	1533
KL	7	-10	2129	-1743	66	-8	278	116
NHERF1	7	-2	2129	86	0	0
PLAA	7	-2	2129	86	0	0	10154	933
TM9SF2	7	1	2129	3713	0	0	10152	933
COX5A	7	0	2129	1873	2	-2	5398	3028
SLC22A13	7	1	2129	3713	0	0	9824	1113
NMT2	7	2	2129	6747	0	0	9837	1105
SELENOF	7	0	2129	1873	2	1	6245	-576
SNRNP40	7	-2	2129	86	1	1	6935	-1332
FADS2	7	-5	2129	-1045	5	-4	2725	1577
CRIPT	7	3	2129	15286	3	-5	4213	2869
MAP4K4	7	-2	2129	86	16	15	1146	-4227
RASAL2	7	1	2129	3713	1	1	6864	-1229
ROCK2	7	-5	2129	-1045	2	-1	5231	2387
ONECUT2	7	7	2129	15745	0	0
AKAP5	7	2	2129	6747	0	-3	9423	6584
PMPCB	7	-3	2129	-426	1	-1	7248	3311
GOSR1	7	2	2129	6747	0	0	9958	1027
BAG2	7	-9	2129	-1647	2	2	5288	-3046
CXCL14	7	-4	2129	-779	3	1	3846	568
CLOCK	7	-3	2129	-426	39	7	504	113
CDC42BPB	7	0	2129	1873	0	0	9476	1302
RBM39	7	-7	2129	-1397	4	1	3468	615
CREB5	7	3	2129	15286	5	4	2924	-2390
PDIA4	7	-11	2129	-1809	0	0
NCOR2	7	-11	2129	-1809	3	-4	4234	2737
CELSR1	7	2	2129	6747	4	2	3505	-329
AATK	7	-1	2129	789	0	0	9028	1563
MORF4L2	7	0	2129	1873	2	2	5318	-3118
GCC2	7	2	2129	6747	1	-1	6994	3168
SAFB2	7	0	2129	1873	1	1	7003	-1408
EIF5B	7	-6	2129	-1233	0	-2	9638	5802
IPO13	7	2	2129	6747	0	0	9634	1213
PHF14	7	1	2129	3713	0	0
UBE3C	7	1	2129	3713	0	0	9624	1217
PUM1	7	-10	2129	-1743	3	2	4164	-1081
AQR	7	-1	2129	789	0	0
USP34	7	-1	2129	789	1	1	7025	-1458
RIPOR2	7	7	2129	15745	3	0	4250	1355
PCLAF	7	0	2129	1873	3	3	4745	-8162
TM9SF4	7	1	2129	3713	0	0
DHX38	7	-1	2129	789	0	0	9917	1057
PTDSS1	7	0	2129	1873	2	-2	5432	3056
CKAP5	7	-7	2129	-1397	2	-1	5433	2499
MAML1	7	1	2129	3713	1	0	7207	1589
TOMM20	7	-2	2129	86	17	11	1098	-629
MELK	7	0	2129	1873	3	0	4308	1375
ZEB2	7	-3	2129	-426	11	6	1579	-331
GAB2	7	-1	2129	789	4	2	3439	-287
CEP170	7	-3	2129	-426	2	0	5485	1521
TBC1D4	7	-3	2129	-426	12	7	1483	-517
NCAPD2	7	-5	2129	-1045	1	1	7107	-1519
RNF10	7	2	2129	6747	0	0	9798	1131
LPGAT1	7	2	2129	6747	0	0
KIF14	7	-2	2129	86	0	0	9946	1024
GFPT2	7	-4	2129	-779	0	0
CRYZL1	7	7	2129	15745	2	2	5436	-3451
GOLGA5	7	1	2129	3713	0	0	9934	1040
HS3ST1	7	7	2129	15745	0	-1	9949	4300
USP3	7	2	2129	6747	0	0
MVP	7	2	2129	6747	8	7	2067	-3571
MED12	7	-9	2129	-1647	6	1	2622	617
CLEC2B	7	7	2129	15745	0	-1	10174	4381
THOC1	7	-1	2129	789	0	-1	10149	4370
AKT3	7	7	2129	15745	4	-3	3594	2068
ABI1	7	-2	2129	86	3	1	4363	365
ZBTB33	7	-3	2129	-426	3	3	4374	-4911
BCL2L11	7	-1	2129	789	12	6	1485	-248
CHAF1A	7	0	2129	1873	2	2	5640	-3978
SMC4	7	-2	2129	86	1	0	7515	1610
UBA2	7	-4	2129	-779	4	-2	3630	1886
SAE1	7	-3	2129	-426	2	2	5636	-3971
FARSB	7	-4	2129	-779	1	-1	7507	3423
TSSC4	7	1	2129	3713	0	0
ARPC5	7	-2	2129	86	2	2	5509	-3631
ARPC3	7	-1	2129	789	0	0	10126	939
RAD50	7	-11	2129	-1809	7	0	2347	819
ACTR1B	7	1	2129	3713	2	2	5593	-3842
ACTR1A	7	-5	2129	-1045	1	1	7462	-1984
PDIA6	7	-10	2129	-1743	0	0
BCAP31	7	-4	2129	-779	2	2	5588	-3828
NAMPT	7	-16	2129	-1985	18	-9	1032	567
RBM12	7	-6	2129	-1233	5	5	3036	-6507
EBI3	7	7	2129	15745	9	7	1889	-2193
CEBPZ	7	-1	2129	789	0	-2	9693	5840
FARP1	7	1	2129	3713	3	2	4259	-1207
WASF2	7	-2	2129	86	0	-2	8733	5439
RCL1	7	2	2129	6747	0	0	9701	1190
RBM7	7	2	2129	6747	2	2	5341	-3164
RBM5	7	2	2129	6747	0	0	9692	1197
TNK2	7	-1	2129	789	5	5	2955	-5564
TXNDC9	7	1	2129	3713	0	0	9967	1020
ALG3	7	-1	2129	789	1	0	7027	1563
MPHOSPH10	7	1	2129	3713	1	1	7029	-1456
DHRS2	7	1	2129	3713	1	1	7264	-1721
EIF1	7	1	2129	3713	4	-4	3521	2172
PLIN3	7	-1	2129	789	3	3	4333	-4744
GPHN	7	-1	2129	789	6	0	2404	838
ZMPSTE24	7	-3	2129	-426	8	1	1920	530
CWC27	7	1	2129	3713	0	0
LILRB2	7	-1	2129	789	6	3	2702	-531
TCIRG1	7	7	2129	15745	5	3	2735	-551
LANCL1	7	1	2129	3713	1	1	6833	-1196
TRDN	7	0	2129	1873	3	3	4155	-3877
NPM2	7	7	2129	15745	0	0
HMG20B	7	0	2129	1873	1	1	6896	-1260
MICU1	7	1	2129	3713	0	-1	9458	4158
SEMA3A	7	0	2129	1873	2	2	5239	-2911
BPNT1	7	-2	2129	86	0	0
MYL9	7	1	2129	3713	3	2	4105	-1038
PEMT	7	7	2129	15745	11	4	1582	101
BASP1	7	-6	2129	-1233	5	2	2987	50
RAPGEF3	7	7	2129	15745	8	3	2071	74
NSA2	7	1	2129	3713	0	-1	9982	4315
PGRMC2	7	1	2129	3713	0	0	9988	1012
TUBGCP3	7	-1	2129	789	2	1	5434	-195
ACAA2	7	-3	2129	-426	6	5	2605	-2984
SLC30A9	7	2	2129	6747	0	0
PPIH	7	0	2129	1873	3	3	4289	-4455
ZNHIT1	7	0	2129	1873	0	0
ATP5PD	7	1	2129	3713	1	1	7165	-1599
UBE2E3	7	0	2129	1873	0	-1	9897	4294
HOXB13	7	-3	2129	-426	2	-3	5416	3432
VAT1	7	-1	2129	789	1	0	7185	1587
SEMA4D	7	0	2129	1873	7	6	2146	-2467
HYOU1	7	-7	2129	-1397	1	-2	7242	4301
ATG7	7	-4	2129	-779	6	-2	2617	1255
GLRX3	7	-4	2129	-779	1	1	7054	-1476
PROCR	7	-3	2129	-426	9	8	1865	-3633
AGR2	7	1	2129	3713	4	3	3526	-1960
RPP30	7	2	2129	6747	3	2	4268	-1226
SPTLC1	7	-5	2129	-1045	2	1	5352	-133
ARFGEF2	7	2	2129	6747	1	1	7079	-1492
MRPL28	7	0	2129	1873	1	1	7101	-1513
USP16	7	2	2129	6747	0	-1	9760	4231
ERLIN1	7	-1	2129	789	0	0	9990	1009
ARID3B	7	-3	2129	-426	0	-1	9744	4228
PMVK	7	0	2129	1873	0	0	10001	998
CD226	7	1	2129	3713	15	6	1217	-8
FARS2	7	2	2129	6747	5	4	3002	-2688
GNA13	7	-2	2129	86	3	3	4331	-4711
TNFSF13B	7	-7	2129	-1397	35	21	547	-256
NFAT5	7	1	2129	3713	6	4	2399	-846
NUDC	7	-5	2129	-1045	2	2	5576	-3807
STAG2	7	0	2129	1873	7	7	2323	-6787
NUP50	7	-2	2129	86	0	-1	10070	4344
NES	7	-4	2129	-779	40	19	483	-86
KDM5B	7	-5	2129	-1045	2	-11	5492	4603
IQGAP2	7	0	2129	1873	0	-2	10407	6317
RPP40	7	2	2129	6747	1	1	7569	-2176
UTP14A	7	-2	2129	86	0	0	10487	769
CLPX	7	-2	2129	86	11	8	1517	-1031
PDE10A	7	7	2129	15745	4	2	3242	-175
POLR1G	7	-1	2129	789	2	0	5665	1551
USP20	7	1	2129	3713	2	2	5664	-4048
WDR3	7	-2	2129	86	0	-3	10508	7471
RAB10	7	-6	2129	-1233	1	-2	7610	4566
UTS2	7	7	2129	15745	7	0	2359	826
SUB1	7	-2	2129	86	5	2	2972	50
MORF4L1	7	-2	2129	86	1	-1	7173	3266
SEC61B	7	-1	2129	789	5	1	2731	609
TOMM34	7	1	2129	3713	6	6	2604	-6139
TMED2	7	0	2129	1873	0	0	9867	1102
ERP29	7	-1	2129	789	3	1	4356	365
MLLT11	7	1	2129	3713	0	0
ASCC3	7	1	2129	3713	3	2	4364	-1426
RAB31	7	1	2129	3713	1	0	7140	1581
PIM2	7	0	2129	1873	6	4	2620	-1362
DDX52	7	-3	2129	-426	0	0	10091	964
TOPBP1	7	0	2129	1873	6	1	2619	616
TRIOBP	7	0	2129	1873	0	-1	10398	4500
ESM1	7	0	2129	1873	5	0	3040	1015
PRSS23	7	7	2129	15745	0	-2	10404	6317
KRR1	7	-1	2129	789	0	0	10402	816
KATNA1	7	1	2129	3713	2	1	5628	-269
CDC42EP1	7	0	2129	1873	2	2	5508	-3630
PWP1	7	-2	2129	86	0	0	10122	942
SOX21	7	7	2129	15745	3	1	4384	358
BAZ1A	7	0	2129	1873	0	0	10325	850
RASSF1	7	0	2129	1873	0	-1	10330	4462
SEC23IP	7	-2	2129	86	1	1	7473	-2007
FZD10	7	7	2129	15745	3	3	4498	-5694
RASSF8	7	0	2129	1873	0	0	10780	629
PDCD10	7	2	2129	6747	1	-1	7726	3557
TP53TG1	7	2	2129	6747	0	0
DCTN3	7	1	2129	3713	0	0	10663	683
XPOT	7	-3	2129	-426	0	0	10649	692
COPE	7	-2	2129	86	5	1	3060	630
STK38	7	-3	2129	-426	1	0	7714	1647
COPZ1	7	-2	2129	86	2	2	5819	-4552
COPG1	7	-7	2129	-1397	0	0	10942	539
PHLDA1	7	7	2129	15745	2	1	5815	-328
HSPA4L	7	-6	2129	-1233	1	1	7841	-2543
DNAJC8	7	1	2129	3713	0	0
COBLL1	7	1	2129	3713	0	0	10935	542
NLRP1	7	0	2129	1873	10	7	1736	-1348
INPP5F	7	1	2129	3713	1	-1	7794	3588
ZHX2	7	1	2129	3713	1	-1	7777	3580
DHX30	7	-9	2129	-1647	0	0
NCBP2	7	1	2129	3713	0	0
MAPRE1	7	1	2129	3713	3	3	4472	-5533
RAB18	7	2	2129	6747	2	-1	5740	2678
DKK1	7	-6	2129	-1233	32	11	591	18
KIN	7	2	2129	6747	1	1	7666	-2320
SLC4A1AP	7	1	2129	3713	0	0
TRIM32	7	-3	2129	-426	3	-3	4475	2727
DIP2C	7	7	2129	15745	0	0	10675	682
SORCS3	7	2	2129	6747	0	0
RAB21	7	-4	2129	-779	0	0	10678	682
EXOSC7	7	2	2129	6747	0	0	10605	718
CNOT1	7	-5	2129	-1045	2	1	5707	-276
XPO7	7	2	2129	6747	0	0
PDXDC1	7	1	2129	3713	0	0
ZSWIM8	7	-1	2129	789	0	0
WAPL	7	-1	2129	789	6	1	2572	623
ERP44	7	0	2129	1873	1	-1	7004	3171
BLTP3B	7	0	2129	1873	0	0
RRP1B	7	-7	2129	-1397	1	1	6987	-1397
KDM4C	7	0	2129	1873	1	1	6991	-1398
ERC1	7	1	2129	3713	4	4	3470	-4744
PEG10	7	0	2129	1873	6	2	2571	237
KIF1B	7	2	2129	6747	1	1	6310	-638
SARM1	7	0	2129	1873	17	12	1086	-861
MRPS27	7	-2	2129	86	0	0
TNRC6B	7	-3	2129	-426	2	1	5215	-40
HIC2	7	1	2129	3713	0	-1	9390	4144
CLASP2	7	-2	2129	86	1	0	6854	1607
GPATCH8	7	1	2129	3713	0	0	9405	1323
RAD54L2	7	-1	2129	789	0	0
SMC5	7	1	2129	3713	1	-1	6846	3115
ANKLE2	7	2	2129	6747	0	0
CIC	7	-2	2129	86	0	-1	9592	4179
CLCC1	7	1	2129	3713	1	1	7055	-1476
MAPK8IP3	7	1	2129	3713	2	2	5354	-3183
NUP205	7	-4	2129	-779	0	0	9758	1141
RTF1	7	-2	2129	86	0	0
TTLL12	7	-5	2129	-1045	0	0
UBXN4	7	1	2129	3713	0	0	9752	1143
FBXL7	7	7	2129	15745	0	0	9738	1156
MDN1	7	1	2129	3713	2	1	5374	-151
FAM120A	7	-9	2129	-1647	0	-1	9759	4231
RRP12	7	-3	2129	-426	0	0	9789	1131
NUP210	7	-1	2129	789	0	0
ARHGEF9	7	0	2129	1873	0	-1	9784	4243
PACS2	7	7	2129	15745	0	0
ANKRD28	7	-1	2129	789	0	0
PDS5A	7	-5	2129	-1045	1	0	7109	1573
BOP1	7	-3	2129	-426	0	-1	9785	4243
RPRD2	7	-1	2129	789	1	-1	7116	3229
OTUD3	7	-1	2129	789	0	0
KAZN	7	1	2129	3713	0	0
SCFD1	7	-3	2129	-426	2	2	5444	-3469
CSTF2T	7	2	2129	6747	0	0	9822	1116
FBXW11	7	-3	2129	-426	1	-2	7142	4223
SATB2	7	-5	2129	-1045	55	-39	351	223
WASHC4	7	1	2129	3713	0	0
USP22	7	-1	2129	789	3	3	4302	-4538
TTC28	7	2	2129	6747	2	2	5421	-3398
DNAJC16	7	1	2129	3713	0	0
ESYT1	7	-1	2129	789	1	1	7197	-1638
USP24	7	1	2129	3713	0	-1	10020	4327
FNBP4	7	2	2129	6747	0	0	10006	997
ZNF629	7	1	2129	3713	0	0	10023	996
CRTC1	7	2	2129	6747	11	2	1611	385
SRGAP2	7	1	2129	3713	14	7	1303	-218
RYBP	7	1	2129	3713	0	0	10052	988
ABCA6	7	7	2129	15745	0	0
CBX5	7	0	2129	1873	4	3	3529	-1961
PHF3	7	2	2129	6747	1	1	7072	-1486
TRAM1	7	1	2129	3713	0	0
ETHE1	7	1	2129	3713	5	4	2959	-2536
SEC11A	7	1	2129	3713	0	0
SEC61G	7	2	2129	6747	0	-2	8754	5445
MORC3	7	-4	2129	-779	0	-1	9954	4301
ZNF281	7	-4	2129	-779	0	0	9948	1025
CDC42EP4	7	1	2129	3713	0	0	10309	859
CARHSP1	7	2	2129	6747	0	-2	10375	6296
OPN3	7	1	2129	3713	2	-3	5619	3600
NUP62	7	-7	2129	-1397	3	3	4095	-3754
HSPBP1	7	0	2129	1873	0	0	10231	906
TRIM29	7	7	2129	15745	0	0	10224	907
SGK3	7	7	2129	15745	2	0	5565	1541
IL17RA	7	0	2129	1873	2	2	5503	-3623
FKBP8	7	-4	2129	-779	1	1	7334	-1787
BRD1	7	2	2129	6747	0	0
TFIP11	7	0	2129	1873	0	0	10419	808
RAD54B	7	2	2129	6747	2	1	5632	-271
PGLS	7	0	2129	1873	0	0
LSM4	7	1	2129	3713	2	2	5656	-4035
SAMM50	7	-3	2129	-426	0	-1	10467	4540
ATXN10	7	-6	2129	-1233	0	0	10466	776
PRDX5	7	-3	2129	-426	5	5	3044	-6633
HECTD1	7	-1	2129	789	0	0
NIPBL	7	-5	2129	-1045	5	2	2900	91
ASF1A	7	-4	2129	-779	0	0	10539	742
DCAF13	7	-1	2129	789	0	0
POLR1A	7	-1	2129	789	2	2	5741	-4277
RCHY1	7	7	2129	15745	1	1	7669	-2328
IFFO1	7	2	2129	6747	0	0	10679	680
MTHFD1L	7	-2	2129	86	2	2	5738	-4274
AHCTF1	7	-4	2129	-779	4	1	3658	599
NELFB	7	-2	2129	86	0	0	10701	671
NOL11	7	2	2129	6747	0	0
GEMIN5	7	-4	2129	-779	0	-5	10693	8649
FAM98A	7	-3	2129	-426	0	0	10697	671
SYF2	7	2	2129	6747	0	0
CHMP2B	7	0	2129	1873	1	1	7823	-2517
NGDN	7	2	2129	6747	0	0
TBC1D10B	7	1	2129	3713	0	0
RNF167	7	0	2129	1873	0	0	11306	400
GORASP2	7	-3	2129	-426	0	0	11278	406
SPATS2L	7	1	2129	3713	0	0	11310	397
CHD5	7	-2	2129	86	1	1	7965	-2777
CNTNAP2	7	2	2129	6747	11	1	1619	486
RAB11FIP5	7	0	2129	1873	1	-1	7959	3699
LSM14A	7	-2	2129	86	0	0
ABCA12	7	7	2129	15745	13	-2	1342	566
PTPN22	7	-1	2129	789	17	0	1060	378
FBXO22	7	0	2129	1873	0	0
ARFGAP3	7	2	2129	6747	2	2	5768	-4387
CHIC2	7	7	2129	15745	0	0
AGO1	7	-2	2129	86	1	-1	7961	3700
AATF	7	-1	2129	789	1	0	7966	1702
GREM1	7	-2	2129	86	0	0
TBL2	7	-4	2129	-779	0	0
COPG2	7	-1	2129	789	0	0	10960	540
CYFIP2	7	1	2129	3713	2	-2	5832	3386
DNAJC2	7	0	2129	1873	0	0	10975	525
USP21	7	1	2129	3713	0	0
ATP2C1	7	0	2129	1873	6	5	2670	-3572
PELP1	7	0	2129	1873	3	1	3853	554
CACYBP	7	-6	2129	-1233	5	5	3092	-7544
EIF2AK1	7	2	2129	6747	7	6	2371	-3863
SNX5	7	0	2129	1873	6	5	2647	-3331
AGO2	7	-8	2129	-1534	5	2	3070	-9
VPS4A	7	0	2129	1873	7	4	2366	-714
DISC1	7	-4	2129	-779	11	5	1524	-65
IL17C	7	0	2129	1873	0	0
SERP1	7	7	2129	15745	1	-2	7751	4675
GPKOW	7	-2	2129	86	0	0
AHDC1	7	1	2129	3713	2	2	5796	-4457
KLHL20	7	1	2129	3713	1	1	7746	-2458
DIMT1	7	-1	2129	789	0	0
SMPDL3B	7	2	2129	6747	0	0
RBMS3	7	7	2129	15745	0	-1	11220	4938
HTATSF1	7	0	2129	1873	2	2	5910	-4888
UBE2S	7	-4	2129	-779	0	0
UTP20	7	0	2129	1873	0	-3	11045	7936
MAT2B	7	0	2129	1873	0	0
IGKV4-1	7	0	2129	1873	0	0
TRIB2	7	0	2129	1873	1	1	7803	-2505
CCDC22	7	2	2129	6747	1	1	7804	-2505
OSTM1	7	2	2129	6747	4	1	3690	597
FLVCR1	7	7	2129	15745	1	-3	7812	5370
ATAD2	7	0	2129	1873	0	0
ZCCHC4	7	3	2129	15286	0	0
BABAM1	7	3	2129	15286	2	2	5925	-4954
CNIH4	7	1	2129	3713	0	0	9890	1079
SSU72	7	2	2129	6747	0	0
PACSIN3	7	0	2129	1873	0	0	10025	997
ABT1	7	1	2129	3713	0	0
OLA1	7	-4	2129	-779	3	2	4327	-1357
CNOT7	7	0	2129	1873	1	-1	7428	3393
STRN4	7	-2	2129	86	0	0	9171	1476
RBM15B	7	2	2129	6747	0	0
ANAPC4	7	2	2129	6747	0	-2	10672	6517
IL19	7	0	2129	1873	4	3	3656	-2362
CERS2	7	0	2129	1873	3	3	4480	-5589
PSAT1	7	-8	2129	-1534	6	3	2652	-412
UBQLN2	7	-3	2129	-426	4	2	3666	-498
UBQLN1	7	-5	2129	-1045	5	-1	3055	1306
NRBF2	7	2	2129	6747	0	0	10706	667
PILRA	7	0	2129	1873	4	4	3665	-6400
EFEMP2	7	7	2129	15745	0	-2	10722	6561
CXXC1	7	0	2129	1873	7	-11	2363	1700
DNTTIP2	7	-1	2129	789	0	-1	10724	4688
PIK3R4	7	1	2129	3713	2	2	5718	-4204
NOX4	7	-8	2129	-1534	16	11	1158	-903
IL21R	7	7	2129	15745	9	6	1903	-1214
