title	gene_symbol.value
FOXJ1	FOXJ1
MAP3K3	MAP3K3
FLNB	FLNB
MAP3K1	MAP3K1
MECP2	MECP2
MDH1	MDH1
ME2_(gene)	ME2
Forkhead_box_protein_O1	FOXO1
ME1_(gene)	ME1
MCM4	MCM4
FLT3LG	FLT3LG
Eosinophil_peroxidase	EPX
N-Myc	MYCN
Fragile_site,_folic_acid_type,_rare,_fra(2)(q13)	FRA2B
FOXS1	FOXS1
FNTA	FNTA
Fyn-related_kinase	FRK
FMO4	FMO4
MCF2	MCF2
DNAJB9	DNAJB9
Alpha_1-antichymotrypsin	SERPINA3
MCL1	MCL1
PROP1	PROP1
Prostaglandin_EP2_receptor	PTGER2
PSMA4	PSMA4
Persephin	PSPN
LGMN	LGMN
PSMC4	PSMC4
HOXC6	HOXC6
HOXD4	HOXD4
PRSS8	PRSS8
PSMB4	PSMB4
PSMD10	PSMD10
HOXC13	HOXC13
PSG5	PSG5
PRPSAP1	PRPSAP1
HOXD9	HOXD9
HOXB5	HOXB5
HOXC8	HOXC8
HOXD1	HOXD1
MAP2K2	MAP2K2
MAPK13	MAPK13
MAP2K5	MAP2K5
PRSS2	PRSS2
PTCH1	PTCH1
MAPK11	MAPK11
HOXC9	HOXC9
PSMB10	PSMB10
PSEN2	PSEN2
HOXD10	HOXD10
PSMC1	PSMC1
MAPK4	MAPK4
MAP2K3	MAP2K3
KLK10	KLK10
PSMD7	PSMD7
HOXC12	HOXC12
PSMB7	PSMB7
PRKX	PRKX
PSMA2	PSMA2
DNAJC3	DNAJC3
MAP2K6	MAP2K6
KLK7	KLK7
MAP2K1	MAP2K1
PSME2	PSME2
PRKRIR	THAP12
HOXD8	HOXD8
PSMA6	PSMA6
PSG9	PSG9
HOXC5	HOXC5
PRKY	PRKY
PRSS3	PRSS3
PRM2	PRM2
HOXB4	HOXB4
PROX1	PROX1
HOXB6	HOXB6
PSG6	PSG6
Trypsin_1	PRSS1
PSMD12	PSMD12
PSMB5	PSMB5
PSG2	PSG2
HOXC10	HOXC10
PSMD1	PSMD1
PRM1	PRM1
HOXD3	HOXD3
HTRA1	HTRA1
PSMC5	PSMC5
HOXB8	HOXB8
PSMA3	PSMA3
MAPK6	MAPK6
HOXB7	HOXB7
PSPH	PSPH
MAPK7	MAPK7
PSMD3	PSMD3
MAP2K7	MAP2K7
PSMB9	PSMB9
PSMD9	PSMD9
PSMD2	PSMD2
PSG4	PSG4
KLK6	KLK6
PSMC6	PSMC6
PSMA7	PSMA7
PSMC3	PSMC3
PSMD5	PSMD5
Proline_oxidase	PRODH
HOXB9	HOXB9
PSKH1	PSKH1
PSG3	PSG3
HOXD11	HOXD11
Prostaglandin_EP3_receptor	PTGER3
PSMA5	PSMA5
MAPK10	MAPK10
PSMB3	PSMB3
HOXC4	HOXC4
Prostaglandin_EP1_receptor	PTGER1
PRPSAP2	PRPSAP2
PSMD8	PSMD8
HOXC11	HOXC11
PSMB2	PSMB2
Proteasome_(prosome,_macropain)_subunit,_alpha_1	PSMA1
PSMC2	PSMC2
PSMB1	PSMB1
PSMB6	PSMB6
RAP1A	RAP1A
ID4	ID4
IFNR	IFNR
Poliovirus_receptor-related_1	NECTIN1
PTPRG	PTPRG
RALA	RALA
PTPRR	PTPRR
RALB	RALB
HTR3A	HTR3A
5-HT7_receptor	HTR7
ICAM2	ICAM2
IGFBP1	IGFBP1
IGHA2	IGHA2
PWP2	PWP2
IGHM	IGHM
PPP1R11	PPP1R11
PYGB	PYGB
Interferon_gamma_receptor_2	IFNGR2
Interleukin_11_receptor_alpha_subunit	IL11RA
Peroxisomal_biogenesis_factor_2	PEX2
ID1	ID1
PTPRZ1	PTPRZ1
Immunoglobulin_heavy_constant_alpha_1	IGHA1
PTPRF	PTPRF
RAPSN	RAPSN
PTPRK	PTPRK
Ran_(protein)	RAN
IFNAR2	IFNAR2
RAP1GAP	RAP1GAP
PYCR1	PYCR1
PTPRN	PTPRN
RANBP2	RANBP2
5-HT5A_receptor	HTR5A
RBPJ	RBPJ
IGFBP2	IGFBP2
HYAL1	HYAL1
J_chain	JCHAIN
IGL@	IGL
PTPRO	PTPRO
IGBP1	IGBP1
IFNB1	IFNB1
RAG2	RAG2
Poliovirus_receptor-related_2	NECTIN2
IARS	IARS1
IFRD1	IFRD1
Aldehyde_dehydrogenase_18_family,_member_A1	ALDH18A1
Interferon_gamma_receptor_1	IFNGR1
RAD1_homolog	RAD1
CYR61	CCN1
RAP1GDS1	RAP1GDS1
PTPRM	PTPRM
5-HT6_receptor	HTR6
PTPRH	PTPRH
Retinoic_acid_receptor_alpha	RARA
ICA1	ICA1
PTPRS	PTPRS
RANGAP1	RANGAP1
Insulin_dependent_diabetes_mellitus_3	IDDM3
IGH@	IGH
IRF8	IRF8
IGHD	IGHD
ABCD3	ABCD3
IGFBP3	IGFBP3
IGFALS	IGFALS
ID3_(gene)	ID3
IGSF1	IGSF1
IGFBP7	IGFBP7
PEX19	PEX19
Retinoic_acid_receptor_beta	RARB
IGHMBP2	IGHMBP2
IK_(gene)	IK
IL1RAP	IL1RAP
IGHG1	IGHG1
RAP2A	RAP2A
IGFBP5	IGFBP5
PTPRN2	PTPRN2
RAP2B	RAP2B
IGFBP6	IGFBP6
Tenascin_C	TNC
IGHG3	IGHG3
IGHG4	IGHG4
IFNW1	IFNW1
RAP1B	RAP1B
IGFBP4	IGFBP4
IGHE	IGHE
IGLL1	IGLL1
DYNLT3	DYNLT3
HUS1	HUS1
PURA	PURA
ABCD4	ABCD4
PURB	PURB
RALGDS	RALGDS
RANBP1	RANBP1
5-HT4_receptor	HTR4
RAG1	RAG1
PYGL	PYGL
IGHG2	IGHG2
PTPRJ	PTPRJ
ID2	ID2
PVT1	PVT1
FOXO4	FOXO4
HSD17B4	HSD17B4
5-HT1D_receptor	HTR1D
HES1	HES1
HSD17B1	HSD17B1
Matrix_metallopeptidase_12	MMP12
HSPA4	HSPA4
MMP8	MMP8
HSPA9	HSPA9
MLLT6	MLLT6
MMP1	MMP1
Matrix_metallopeptidase_13	MMP13
MMP7	MMP7
DNAJA1	DNAJA1
KMT2A	KMT2A
MAP3K11	MAP3K11
HSP90AB1	HSP90AB1
Histatin_3	HTN3
HSPB2	HSPB2
5-HT1F_receptor	HTR1F
MMP9	MMP9
MLLT3	MLLT3
AFF1	AFF1
HOXD13	HOXD13
5-HT2C_receptor	HTR2C
HSPA1L	HSPA1L
HSPA2	HSPA2
HSPA6	HSPA6
Heat_shock_protein_90kDa_alpha_(cytosolic),_member_A1	HSP90AA1
MAP3K9	MAP3K9
MMP14	MMP14
Histidine-rich_glycoprotein	HRG
Binding_immunoglobulin_protein	HSPA5
MLF1	MLF1
NDST1	NDST1
Immunoglobulin_superfamily_member_3	IGSF3
MMP15	MMP15
DNAJB1	DNAJB1
MMP11	MMP11
Afadin	AFDN
Hypertrichosis_1_(universalis,_congenital)	HTC1
5-HT1E_receptor	HTR1E
MMP16	MMP16
HSPA7	HSPA7
Muskelin	MKLN1
HSD17B2	HSD17B2
HSPA1A	HSPA1A
Histatin_1	HTN1
MMP10	MMP10
HPN_(gene)	HPN
MAP3K10	MAP3K10
MMP17	MMP17
MLLT1	MLLT1
NAMA_(gene)	NAMA
GPX1	GPX1
PRPF3	PRPF3
MAGEA4	MAGEA4
MIRLET7BHG	MIRLET7BHG
PDIA3	PDIA3
NAGly_receptor	GPR18
MAGEA11	MAGEA11
GRIK1	GRIK1
GPR25	GPR25
GPX3	GPX3
Free_fatty_acid_receptor_3	FFAR3
Free_fatty_acid_receptor_2	FFAR2
GRID2	GRID2
MAGEB2	MAGEB2
GPR33	GPR33
GPR15	GPR15
MKNK2	MKNK2
MEG8	MEG8
MAGEA10	MAGEA10
LYL1	LYL1
GPX2_(gene)	GPX2
PEX5	PEX5
MT-TT	MT-TT
RAPGEF1	RAPGEF1
PRPF31	PRPF31
MT-ND5	ND5
MAGEA5	MAGEA5P
GPR27	GPR27
Leptin_receptor	LEPR
MT-TC	MT-TC
Prolactin-releasing_peptide_receptor	PRLHR
MAGEA9	MAGEA9
Granulin	GRN
NBR1	NBR1
ARHGEF5	ARHGEF5
GPR12	GPR12
GPX7	GPX7
GRK5	GRK5
PORCN	PORCN
MAFG	MAFG
GRIK2	GRIK2
GPX5	GPX5
PRCD	PRCD
GPR31	GPR31
Methylglutaconyl-CoA_hydratase	AUH
GPR34	GPR34
MXD1	MXD1
ATP2B1	ATP2B1
GRK4	GRK4
MARCKS	MARCKS
ARHGAP29	ARHGAP29
Microcephalin	MCPH1
Proenkephalin	PENK
Melanin-concentrating_hormone_receptor_1	MCHR1
GPR22	GPR22
MAB21L1	MAB21L1
GPR20	GPR20
Free_fatty_acid_receptor_1	FFAR1
RGS9BP	RGS9BP
TNRC15	GIGYF2
MAGEA12	MAGEA12
MAFD1	MAFD1
GPR42	GPR42
GRB14	GRB14
GRIK3	GRIK3
SH2D1A	SH2D1A
PRPF8	PRPF8
LPAR4	LPAR4
Nucleoporin_188	NUP188
GRK6	GRK6
GPR37	GPR37
MAD1L1	MAD1L1
MAF_(gene)	MAF
MT-TV_(mitochondrial)	MT-TV
GPR35	GPR35
CD_205	LY75
GPR21	GPR21
ATG16L1	ATG16L1
Caprin-1	CAPRIN1
TACSTD2	TACSTD2
MAGEA2	MAGEA2
MT-ATP6	ATP6
GPS1	GPS1
GRIK5	GRIK5
MDFI	MDFI
MAD2L1	MAD2L1
GPS2_(gene)	GPS2
ASAH2C	ASAH2C
PTS_(gene)	PTS
Cation-dependent_mannose-6-phosphate_receptor	M6PR
RFPL3-AS1	RFPL3S
GPR17	GPR17
TM4SF1	TM4SF1
GRID1	GRID1
NAD(P)H_dehydrogenase,_quinone_2	NQO2
Melanoma_antigen_family_a,_8	MAGEA8
PCDH11Y	PCDH11Y
GPR39	GPR39
HRBL	AGFG2
Ataxin_3	ATXN3
Calretinin	CALB2
MEP1B	MEP1B
CDKL5	CDKL5
SNX1	SNX1
MGAT2	MGAT2
PSMD4	PSMD4
MEOX1	MEOX1
Keratin_8	KRT8
HSD3B2	HSD3B2
Mammaglobin-B	SCGB2A1
Microsomal_glutathione_S-transferase_1	MGST1
PSMB8	PSMB8
IFNAR1	IFNAR1
MEOX2	MEOX2
IFNA13	IFNA13
MEP1A	MEP1A
DNMT1	DNMT1
G_protein-coupled_receptor_kinase_2	GRK2
DNAJB2	DNAJB2
IFNA16	IFNA16
MHC_class_I_polypeptide–related_sequence_B	MICB
IFN1@	IFN1@
HOXD12	HOXD12
Interferon_alpha-1	IFNA1
MID1	MID1
IFI27	IFI27
PSMD13	PSMD13
IFNA7	IFNA7
HRB_(gene)	AGFG1
IFNA14	IFNA14
IDH3B	IDH3B
RAB8A	RAB8A
HSF2	HSF2
MGAT5	MGAT5
CTAGE5	CTAGE5
Neurotrophin-4	NTF4
Plunc	BPIFA1
MIP_(gene)	MIP
IFIT2	IFIT2
IFNA21	IFNA21
Zinc_transporter_8	SLC30A8
IDH3A	IDH3A
IFI35	IFI35
CD99	CD99
IFNA6	IFNA6
ADAM17	ADAM17
IFI16	IFI16
HSD3B1	HSD3B1
IFNA10	IFNA10
Hippocalcin-like_protein_1	HPCAL1
HPR_(gene)	HPR
TGF_alpha	TGFA
BAMBI	BAMBI
Protein_C_inhibitor	SERPINA5
TGF_beta_2	TGFB2
MGAT1	MGAT1
HSD17B3	HSD17B3
IDH1	IDH1
IFNA17	IFNA17
ABCB5	ABCB5
MFAP2	MFAP2
Motilin_receptor	MLNR
HRC_(gene)	HRC
Melanotransferrin	MELTF
Secretogranin-1	CHGB
SOS1	SOS1
HPGD	HPGD
IFNA5	IFNA5
PTBP1	PTBP1
PRMT1	PRMT1
IFIT3	IFIT3
PRMT2	PRMT2
CFC1	CFC1
PSME1	PSME1
METTL1	METTL1
HSF4	HSF4
IFNA8	IFNA8
IFNA4	IFNA4
Matrix_Gla_protein	MGP
FKBP4	FKBP4
MGST2	MGST2
SP110	SP110
IDH3G	IDH3G
AMELY	AMELY
IDDM11	IDDM11
MGST3	MGST3
MFNG	MFNG
Cripto	CFC1B
IFIT1	IFIT1
MFAP1	MFAP1
MIPEP	MIPEP
MGAT3	MGAT3
HSF1	HSF1
Sarcalumenin	SRL
Keratin_5	KRT5
Mammaglobin-A	SCGB2A2
PSMD11	PSMD11
HPS1	HPS1
Azurocidin_1	AZU1
FRAXD	FRAXD
Butyrophilin,_subfamily_1,_member_A1	BTN1A1
Bradykinin_receptor_B2	BDKRB2
ZBTB48	ZBTB48
Alpha-2-HS-glycoprotein	AHSG
AUP1	AUP1
Interleukin_24	IL24
TRIO_(gene)	TRIO
HLA-DMB	HLA-DMB
HIVEP2	HIVEP2
Cholesterol_7_alpha-hydroxylase	CYP7A1
Carbonic_anhydrase_II	CA2
HGFAC	HGFAC
Activating_transcription_factor_2	ATF2
P53_upregulated_modulator_of_apoptosis	BBC3
ATP6V0D2	ATP6V0D2
SCAMP5	SCAMP5
Cytidine_deaminase	CDA
Uteroglobin	SCGB1A1
Aldehyde_dehydrogenase_9_family,_member_A1	ALDH9A1
Aldehyde_oxidase_1	AOX1
ARNTL	ARNTL
SDHA	SDHA
Caspase-9	CASP9
Adenosine_A2B_receptor	ADORA2B
Interleukin_25	IL25
Midkine	MDK
Bone_sialoprotein	IBSP
Addressin	MADCAM1
SETBP1	SETBP1
BACE1-AS	BACE1-AS
Brain-specific_angiogenesis_inhibitor_3	ADGRB3
Actinin_alpha_2	ACTN2
HLA-DOA	HLA-DOA
FTH1	FTH1
SHB_(gene)	SHB
Beta-mannosidase	MANBA
SLC26A6	SLC26A6
Ribosomal_protein_s6	RPS6
TBX20	TBX20
HHEX	HHEX
Pituitary_adenylate_cyclase-activating_peptide	ADCYAP1
Glutathione_S-transferase_A1	GSTA1
HLA-DPB1	HLA-DPB1
HLA-DMA	HLA-DMA
Cyclin-dependent_kinase_8	CDK8
HLA-DOB	HLA-DOB
HIP2	UBE2K
Repetin	RPTN
Surfactant_protein_C	SFTPC
Aspartoacylase	ASPA
HIC1	HIC1
HINT1	HINT1
Interleukin_22	IL22
CTGF	CCN2
Nav1.7	SCN9A
Brain-specific_angiogenesis_inhibitor_1	ADGRB1
GSTA4	GSTA4
Bradykinin_receptor_B1	BDKRB1
FSHB	FSHB
FRG1	FRG1
Lipopolysaccharide_binding_protein	LBP
Tartrate-resistant_acid_phosphatase	ACP5
SNAI1	SNAI1
CA1_(gene)	CA1
STRN4	STRN4
Cyclin-dependent_kinase_7	CDK7
MNX1	MNX1
Afamin	AFM
IGKC	IGKC
ALOX12	ALOX12
Palladin	PALLD
SORL1	SORL1
WS2B	WS2B
HLA-E	HLA-E
CX3CL1	CX3CL1
Interleukin_26	IL26
UGT2B7	UGT2B7
GSTA3	GSTA3
Adenosine_A3_receptor	ADORA3
ATG3	ATG3
Huntingtin-interacting_protein_1	HIP1
Ferritin_heavy_chain_1_pseudogene_3	FTH1P3
HIVEP1	HIVEP1
Phorbol-12-myristate-13-acetate-induced_protein_1	PMAIP1
UCP3	UCP3
CENPI	CENPI
Actinin_alpha_1	ACTN1
Cyclin-dependent_kinase_3	CDK3
Kinesin_family_member_11	KIF11
Bcl-2_homologous_antagonist_killer	BAK1
Brain-specific_angiogenesis_inhibitor_2	ADGRB2
Cyclin_H	CCNH
HLA-B	HLA-B
CD134	TNFRSF4
Neuronal_calcium_sensor-1	NCS1
GSTA2	GSTA2
SLC2A9	SLC2A9
ABCD2	ABCD2
INPP5A	INPP5A
Stt3a,_catalytic_subunit_of_the_oligosaccharyltransferase_complex	STT3A
Interleukin-9_receptor	IL9R
Interleukin-12_subunit_beta	IL12B
IL13RA2	IL13RA2
Transforming_growth_factor,_beta_3	TGFB3
Interleukin_15_receptor,_alpha_subunit	IL15RA
Peroxiredoxin_2	PRDX2
Thrombospondin-2	THBS2
TERF2	TERF2
TESK1	TESK1
INHBC	INHBC
Inositol_monophosphatase_2	IMPA2
TEP1	TEP1
TFAM	TFAM
IMPDH2	IMPDH2
ING2	ING2
INSL4	INSL4
INPP1	INPP1
Trefoil_factor_2	TFF2
EIF3S6	EIF3E
Interleukin-6_receptor	IL6R
Thyroid_hormone_receptor_beta	THRB
IL3RA	IL3RA
ILF3	ILF3
LEFTY2	LEFTY2
TGFB1I1	TGFB1I1
TEAD1	TEAD1
Thrombospondin_3	THBS3
Thyroid_hormone_receptor_alpha	THRA
TFAP2A	TFAP2A
Insulin-induced_gene_1_protein	INSIG1
FOXK2	FOXK2
Thrombospondin_4	THBS4
IRF2	IRF2
COUP-TFII	NR2F2
IRF1	IRF1
INCENP	INCENP
INSL3	INSL3
IMPG1	IMPG1
Homeobox_protein_TGIF1	TGIF1
TGM3	TGM3
TFDP1	TFDP1
Interleukin_12_receptor,_beta_2_subunit	IL12RB2
Integrin_beta_6	ITGB6
ILF2	ILF2
TGFBI	TGFBI
INHBB	INHBB
INPP4A	INPP4A
TECTA	TECTA
TERF1	TERF1
TGM4	TGM4
TFCP2	TFCP2
INSM1	INSM1
ING1	ING1
INHBA	INHBA
TEAD3	TEAD3
INSRR	INSRR
Interleukin_13_receptor,_alpha_1	IL13RA1
Teratocarcinoma-derived_growth_factor_1	TDGF1
INPP5B	INPP5B
DYNLT1	DYNLT1
IL12A	IL12A
IRAK2	IRAK2
Interleukin_12_receptor,_beta_1_subunit	IL12RB1
IL17A	IL17A
ITIH2	ITIH2
Interleukin_10_receptor,_alpha_subunit	IL10RA
TFDP2	TFDP2
Indian_hedgehog_(protein)	IHH
Inositol_monophosphatase_1	IMPA1
Interleukin-4_receptor	IL4R
TEF_(gene)	TEF
Trichohyalin	TCHH
Thymine-DNA_glycosylase	TDG
TFE3	TFE3
Interleukin_10_receptor,_beta_subunit	IL10RB
INPPL1	INPPL1
ITIH3	ITIH3
THOP1	THOP1
Transferrin_receptor_1	TFRC
TEGT	TMBIM6
INPP5D	INPP5D
TEK_tyrosine_kinase	TEK
TFAP2C	TFAP2C
Interleukin_5_receptor_alpha_subunit	IL5RA
Trefoil_factor_1	TFF1
TEAD4	TEAD4
TFAP2B	TFAP2B
Telomerase_RNA_component	TERC
TFAP4	TFAP4
IL2RB	IL2RB
Trefoil_factor_3	TFF3
INHA	INHA
THRSP	THRSP
TEC_(gene)	TEC
COUP-TFI	NR2F1
Interleukin-7_receptor-α	IL7R
PDX1	PDX1
IRAK1	IRAK1
RBBP4	RBBP4
MNT_(gene)	MNT
RBP1	RBP1
RGL2	RGL2
Nociceptin_receptor	OPRL1
RBM3	RBM3
Proteolipid_protein_1	PLP1
RASGRF1	RASGRF1
RARRES1	RARRES1
TLE1	TLE1
GDF15	GDF15
ANOS1	ANOS1
Gastric_inhibitory_polypeptide_receptor	GIPR
RAB13	RAB13
RAB5B	RAB5B
Aldehyde_dehydrogenase_6_family,_member_A1	ALDH6A1
RAD9A	RAD9A
E3_binding_protein	PDHX
MNAT1	MNAT1
STAT3	STAT3
RAD21	RAD21
RAB6A	RAB6A
RBBP7	RBBP7
RAB27A	RAB27A
MPP1	MPP1
Nibrin	NBN
RBBP5	RBBP5
GDF5	GDF5
ICAM5	ICAM5
GDF1	GDF1
MNDA	MNDA
GDF2	GDF2
RAB3A	RAB3A
Thrombopoietin_receptor	MPL
RAB5A	RAB5A
TLE3	TLE3
MOCS2	MOCS2
GDF6	GDF6
JAG2	JAG2
ARID4A	ARID4A
MOS_(gene)	MOS
ITK_(gene)	ITK
MOV10	MOV10
TSPAN8	TSPAN8
GDF3	GDF3
Mannose_receptor_C-type_1	MRC1
RAB3B	RAB3B
RAB2A	RAB2A
Factor_H	CFH
RAC2	RAC2
Μ-opioid_receptor	OPRM1
GDF7	GDF7
Ras_p21_protein_activator_2	RASA2
JARID2	JARID2
Pregnancy_zone_protein	PZP
ITPR2	ITPR2
MPP2	MPP2
KDM5A	KDM5A
GDF10	GDF10
Tia1_cytotoxic_granule-associated_rna_binding_protein	TIA1
TIMP3	TIMP3
RBBP8	RBBP8
Involucrin	IVL
RAB4A	RAB4A
MAP4K2	MAP4K2
Caspase_8	CASP8
MOCS1	MOCS1
RBBP6	RBBP6
ABCC1	ABCC1
QARS	QARS1
RASGRF2	RASGRF2
Retinoblastoma-like_protein_2	RBL2
RBMS1	RBMS1
Retinoic_acid_receptor_gamma	RARG
Kir6.2	KCNJ11
MMP19	MMP19
RBM4	RBM4
RAB5C	RAB5C
ITPR3	ITPR3
MRE11A	MRE11
Cathepsin_B	CTSB
Chemerin	RARRES2
JUNB	JUNB
ITPR1	ITPR1
RARRES3	PLAAT4
RAD17	RAD17
RABIF	RABIF
STAT1	STAT1
JunD	JUND
TIMP2	TIMP2
DNA-3-methyladenine_glycosylase	MPG
SEC62	SEC62
RARS_(gene)	RARS1
RAS_p21_protein_activator_1	RASA1
MPV17	MPV17
Heat_shock_protein_47	SERPINH1
MPST	MPST
RAB1A	RAB1A
GDF11	GDF11
ITPKA	ITPKA
TLR_1	TLR1
REG1A	REG1A
TLN1	TLN1
RAGE_(gene)	MOK
UPF1	UPF1
Notch_3	NOTCH3
TIMP4	TIMP4
TLE2	TLE2
TLL2	TLL2
TMEM1	TRAPPC10
RBP3	RBP3
FTO_gene	FTO
RFC1	RFC1
Oxoguanine_glycosylase	OGG1
RFC2	RFC2
TM7SF2	TM7SF2
Thymidine_kinase_1	TK1
PKC_alpha	PRKCA
Myelin_protein_zero	MPZ
Syndecan_1	SDC1
TMPRSS2	TMPRSS2
TSPAN4	TSPAN4
RBP2	RBP2
RFC3	RFC3
Thymidine_kinase_2,_mitochondrial	TK2
RELB	RELB
RAD51L3	RAD51D
T-cell_lymphoma_invasion_and_metastasis-inducing_protein_1	TIAM1
Angiopoietin_1	ANGPT1
RFC5	RFC5
TLL1	TLL1
Related_to_receptor_tyrosine_kinase	RYK
DPF2	DPF2
TSPAN6	TSPAN6
TSPAN7	TSPAN7
RDH5	RDH5
RAD51C	RAD51C
TIMP1	TIMP1
Tropomodulin_1	TMOD1
Pyruvate_dehydrogenase_phosphatase	PDP1
CD5_(protein)	CD5
Erbin_(protein)	ERBIN
KLF10	KLF10
TMF1	TMF1
RAD51L1	RAD51B
RECQL	RECQL
RAD52	RAD52
RAD23B	RAD23B
H2AFX	H2AX
Artemin	ARTN
RAD23A	RAD23A
ABCD1	ABCD1
OPN1LW	OPN1LW
Peripherin_2	PRPH2
Tight_junction_protein_1	TJP1
CHEK2	CHEK2
Reticulocalbin_1	RCN1
REL	REL
TIAL1	TIAL1
REV3L	REV3L
TLE4	TLE4
CD135	FLT3
RFC4	RFC4
Tapasin	TAPBP
Reticulocalbin_2	RCN2
REG1B	REG1B
Radixin	RDX
ANGPT2	ANGPT2
Recoverin	RCVRN
CYP2B6	CYP2B6
SLC22A5	SLC22A5
RHD_(gene)	RHD
TSG-6	TNFAIP6
MT-ND4	ND4
TNNI3	TNNI3
SKI_protein	SKI
TNP1	TNP1
MST1R	MST1R
RGS3	RGS3
PHEX	PHEX
RHEB	RHEB
Carboxypeptidase_E	CPE
MSH5	MSH5
TNNT1	TNNT1
RGS7	RGS7
RFX1	RFX1
NUDT1	NUDT1
Melatonin_receptor_1B	MTNR1B
Rab_escort_protein_1	CHM
RFX4	RFX4
MSR1	MSR1
RFX2	RFX2
RGS13	RGS13
Tumor_necrosis_factor_receptor_2	TNFRSF1B
Doublecortin	DCX
Tenascin-R	TNR
Moesin	MSN
MSH4	MSH4
CHL1	CHL1
TCF7L2	TCF7L2
RIT2	RIT2
ACAT1	ACAT1
TNNT3	TNNT3
MYO1B	MYO1B
MSRA_(gene)	MSRA
Leukotriene_C4_synthase	LTC4S
TOP1	TOP1
TNP2	TNP2
RAMP3	RAMP3
TNNC2	TNNC2
Troponin_C_type_1	TNNC1
BMPR1B	BMPR1B
Msh_homeobox_2	MSX2
MST1	MST1
CD137	TNFRSF9
Sphingosine_kinase_1	SPHK1
MSMB	MSMB
RGS1	RGS1
ABCC4	ABCC4
MT-ATP8	ATP8
ACSL6	ACSL6
RHCE_(gene)	RHCE
TCF4	TCF4
TNFAIP3	TNFAIP3
TNFAIP1	TNFAIP1
RHAG	RHAG
MSH3	MSH3
SREBP_cleavage-activating_protein	SCAP
RAMP2	RAMP2
MTRR_(gene)	MTRR
MT-ND4L	ND4L
Metallothionein_1A	MT1A
Metallothionein_2A	MT2A
TNS1	TNS1
Galactosamine-6_sulfatase	GALNS
HADHB	HADHB
CLEC3B	CLEC3B
TNNI1	TNNI1
Melatonin_receptor_1A	MTNR1A
Musashi-1	MSI1
Jun_dimerization_protein	JDP2
RGS10	RGS10
MT-ND3	ND3
TRIM27	TRIM27
Metallothionein_1G	MT1G
Excitatory_amino_acid_transporter_1	SLC1A3
RFXAP	RFXAP
TNNI2	TNNI2
RFX3	RFX3
MT1X	MT1X
RFX5	RFX5
RAMP1	RAMP1
TOP2A	TOP2A
TNNT2	TNNT2
Prostaglandin_DP1_receptor	PTGDR
Rhodopsin_kinase	GRK1
CLDN5	CLDN5
MSX1	MSX1
MT1E	MT1E
RGS12	RGS12
Beta-1,3-N-acetylglucosaminyltransferase_radical_fringe	RFNG
Caspase_2	CASP2
MT-ND6	ND6
RGS16	RGS16
Retinal_G_protein_coupled_receptor	RGR
MT1F	MT1F
CITED1	CITED1
MT1B	MT1B
MT-ND1	ND1
MTX1	MTX1
RGS2	RGS2
ZEB2	ZEB2
60S_ribosomal_protein_L37a	RPL37A
Glucagon-like_peptide-2_receptor	GLP2R
HLA-DRB5	HLA-DRB5
60S_ribosomal_protein_L34	RPL34
Tachykinin_receptor_1	TACR1
40S_ribosomal_protein_S3a	RPS3A
NDUFB5	NDUFB5
60S_ribosomal_protein_L41	RPL41
60S_ribosomal_protein_L35a	RPL35A
NDUFB7	NDUFB7
Beta-synuclein	SNCB
RPN2	RPN2
NDUFB3	NDUFB3
Nucleolin	NCL
NDUFA8	NDUFA8
NDUFA3	NDUFA3
NDN_(gene)	NDN
NDUFA2	NDUFA2
Neutrophil_cytosolic_factor_2	NCF2
RPN1	RPN1
60S_acidic_ribosomal_protein_P2	RPLP2
NDUFAB1	NDUFAB1
SK3	KCNN3
60S_ribosomal_protein_L30	RPL30
NAP1L1	NAP1L1
60S_ribosomal_protein_L27a	RPL27A
60S_ribosomal_protein_L31	RPL31
NFKB1	NFKB1
NARS_(gene)	NARS1
NDUFS2	NDUFS2
Norrin	NDP
40S_ribosomal_protein_S4,_Y_isoform_1	RPS4Y1
RPS6KA3	RPS6KA3
Neurofilament_light_polypeptide	NEFL
40S_ribosomal_protein_S5	RPS5
NDUFC2	NDUFC2
DRG1	DRG1
60S_ribosomal_protein_L36a	RPL36A
RPLP0	RPLP0
Bombesin-like_receptor_3	BRS3
NDUFA5	NDUFA5
60S_ribosomal_protein_L29	RPL29
NEFM	NEFM
P70-S6_Kinase_1	RPS6KB1
NAP1L4	NAP1L4
MAPK1	MAPK1
NDUFA7	NDUFA7
MRPS12	MRPS12
NDUFS1	NDUFS1
GNRHR	GNRHR
NAIP_(gene)	NAIP
Gamma-synuclein	SNCG
T-cadherin	CDH13
60S_ribosomal_protein_L26	RPL26
60S_ribosomal_protein_L32	RPL32
NADH_dehydrogenase_(ubiquinone),_alpha_1	NDUFA1
60S_acidic_ribosomal_protein_P1	RPLP1
40S_ribosomal_protein_S3	RPS3
60S_ribosomal_protein_L24	RPL24
60S_ribosomal_protein_L27	RPL27
NDUFB10	NDUFB10
NCK1	NCK1
NDUFS4	NDUFS4
60S_ribosomal_protein_L38	RPL38
NDUFS6	NDUFS6
NIMA-related_kinase_1	NEK1
NDUFC1	NDUFC1
NDUFA10	NDUFA10
MRPL12	MRPL12
NDUFB2	NDUFB2
RPS4X	RPS4X
Neuromedin_B_receptor	NMBR
RPS6KA1	RPS6KA1
NDUFA9	NDUFA9
