tpage_name	gene_symbol
RAB2A	RAB2A
RAD51D	RAD51D
RALB	RALB
RALGDS	RALGDS
RDH5	RDH5
CCL15	CCL15
SEC13	SEC13
SFRP4	SFRP4
High_affinity_cationic_amino_acid_transporter_1	SLC7A1
Tricarboxylate_transport_protein,_mitochondrial	SLC25A1
SNRPG	SNRPG
AURKC	AURKC
TACR2_(Range_Rover)	TACR2
TALDO1	TALDO1
ELOA	TCEB3
TEAD1	TEAD1
TST_(gene)	TST
Mitochondrial_2-oxoglutarate/malate_carrier_protein	SLC25A11
STK24	STK24
KLF11	KLF11
IFITM1	IFITM1
MCM3AP	MCM3AP
FXR2	FXR2
VPS26A	VPS26A
Photoreceptor_cell-specific_nuclear_receptor	NR2E3
POLD3	POLD3
SUGT1	SUGT1
ERP29	ERP29
EBNA1BP2	EBNA1BP2
KCNQ1OT1	KCNQ1OT1
RAB35	RAB35
b(0,+)-type_amino_acid_transporter_1	SLC7A9
MAP4K1	MAP4K1
RAB18	RAB18
ERC1	ERC1
PIP5K1C	PIP5K1C
RPL36	RPL36
Low-density_lipoprotein_receptor_adapter_protein_1	LDLRAP1
CYFIP2	CYFIP2
MAT2B	MAT2B
BRD7	BRD7
GLTSCR2	GLTSCR2
TDP2	TDP2
Dual_oxidase_1	DUOX1
PPP6R3	PPP6R3
MCM10	MCM10
FERMT1	FERMT1
Zinc_transporter_ZIP4	SLC39A4
CCDC88A	CCDC88A
MMP26	MMP26
EMSY	C11orf30
DDX24	DDX24
Cysteinyl_leukotriene_receptor_2	CYSLTR2
ALS2	ALS2
FANCM	FANCM
SMYD3	SMYD3
BRCC3	BRCC3
DNAJC5	DNAJC5
MED25	MED25
HIST3H2BB	HIST3H2BB
ALAS1	ALAS1
Annexin_A3	ANXA3
APBA1	APBA1
Carbonic_anhydrase_4	CA4
Carbonic_anhydrase_12	CA12
R-type_calcium_channel	CACNA1E
CHRNB3	CHRNB3
CLCNKB	CLCNKB
CYC1	CYC1
CELSR2	CELSR2
EPB41L2	EPB41L2
EPHB6	EPHB6
Fukutin	FKTN
Glypican_5	GPC5
Galactokinase	GALK1
GJA3	GJA3
GPLD1	GPLD1
HMGN1	HMGN1
IFIT1	IFIT1
ITGAE	ITGAE
MAP1A	MAP1A
MARK1	MARK1
NDUFS4	NDUFS4
PCBD1	PCBD1
PCCA_(gene)	PCCA
PDK4	PDK4
PLOD2	PLOD2
PLRG1	PLRG1
PMS1	PMS1
Phenylethanolamine_N-methyltransferase	PNMT
LGMN	LGMN
RASGRF1	RASGRF1
RNF5	RNF5
RPS6KB2	RPS6KB2
SERPINB4	SERPINB4
XCL1	XCL1
SEMA3F	SEMA3F
Na-K-Cl_cotransporter	SLC12A1
Paraplegin	SPG7
TROVE2	TROVE2
Somatostatin_receptor_4	SSTR4
STX5	STX5
Thrombospondin_4	THBS4
Tenascin-R	TNR
WNT3	WNT3
AKAP1	AKAP1
Melanoma_inhibitory_activity	MIA
DNA_repair_and_recombination_protein_RAD54-like	RAD54L
DDX3Y	DDX3Y
HYAL2	HYAL2
HIST1H2BJ	HIST1H2BJ
CLDN6	CLDN6
Monocarboxylate_transporter_5	SLC16A4
MAP4K4	MAP4K4
NPEPPS	NPEPPS
PUM1	PUM1
WDR1	WDR1
SPRY1	SPRY1
GADD45G	GADD45G
Histamine_H3_receptor	HRH3
PNKP	PNKP
MYCBP2	MYCBP2
Neuronal_calcium_sensor-1	NCS1
CORO1C	CORO1C
Testin	TES
B3GAT1	B3GAT1
EIF3K	EIF3K
CPSF1	CPSF1
ASAP1	ASAP1
LARP7	LARP7
MED15	MED15
NUB1	NUB1
CDCA8	CDCA8
BIRC6	BIRC6
NLGN4X	NLGN4X
CRLF2	CRLF2
SOX17	SOX17
PDGFD	PDGFD
NUF2	NUF2
MAML2	MAML2
HIST1H2BK	HIST1H2BK
PNPT1	PNPT1
TGS1	TGS1
ANTXR2	ANTXR2
SGOL1	SGOL1
SPRED1	SPRED1
MACC1	MACC1
MIR148A	MIR148A
MIR30A	MIR30A
MIR375	MIR375
ACY1	ACY1
Alpha-1D_adrenergic_receptor	ADRA1D
APBA2	APBA2
CACNA2D1	CACNA2D1
CD6	CD6
CDH11	CDH11
CHKA	CHKA
Collagen,_type_IX,_alpha_1	COL9A1
DBT_(gene)	DBT
DDOST	DDOST
DYNC1I2	DYNC1I2
Dock2	DOCK2
SERPINB1	SERPINB1
HuD_(protein)	ELAVL4
ERH_(gene)	ERH
FCN1	FCN1
Fibromodulin	FMOD
GJA8	GJA8
GNA15	GNA15
5-HT1D_receptor	HTR1D
KCNB1	KCNB1
Alpha-lactalbumin	LALBA
Caprin-1	CAPRIN1
Megakaryocyte-associated_tyrosine_kinase	MATK
MYH2	MYH2
MYO5B	MYO5B
MYO10	MYO10
NFE2L1	NFE2L1
PC_(gene)	PC
PEX14	PEX14
PGD_(gene)	PGD
PIK3C2G	PIK3C2G
Protoporphyrinogen_oxidase	PPOX
PPP1R10	PPP1R10
PTPRM	PTPRM
PYGL	PYGL
60S_ribosomal_protein_L27	RPL27
RRBP1	RRBP1
TRAPPC2	TRAPPC2
Delta-sarcoglycan	SGCD
SKIV2L	SKIV2L
Urea_transporter_1	SLC14A1
SSR4	SSR4
ELOVL4	ELOVL4
Brachyury	T
TAF11	TAF11
TBX1	TBX1
TCN1	TCN1
TIMP4	TIMP4
Translin-associated_factor_X	TSNAX
DNAJC7	DNAJC7
WIPF1	WIPF1
HIST1H4F	HIST1H4F
AP1G2	AP1G2
DDX23	DDX23
POLR1C	POLR1C
KIAA0101	KIAA0101
SEC16A	SEC16A
MED13	MED13
IL18BP	IL18BP
TFG_(gene)	TFG
ANAPC10	ANAPC10
ARFGEF2	ARFGEF2
SMC2	SMC2
CCR9	CCR9
Dual_Scan	DSTN
STMN2	STMN2
ATXN2L	ATXN2L
ATF5	ATF5
RRP1B	RRP1B
Nucleoporin_160	NUP160
SGK3	SGK3
RSL1D1	RSL1D1
Myoferlin	MYOF
Interleukin_37	IL37
TRIB2	TRIB2
Intersectin_2	ITSN2
ATP6V1H	ATP6V1H
CPSF3	CPSF3
RNF111	RNF111
NDE1	NDE1
KIF21A	KIF21A
CCAR1	CCAR1
DMAP1	DMAP1
WRNIP1	WRNIP1
PREX1	PREX1
DPP10	DPP10
EPS15L1	EPS15L1
GNB4	GNB4
BCL11B	BCL11B
PCDH15	PCDH15
TBL1XR1	TBL1XR1
AGAP2	AGAP2
NEGR1	NEGR1
MIR141	MIR141
MIR17HG	MIR17HG
EIF2AK4	EIF2AK4
ABCF1	ABCF1
Diamine_oxidase	AOC1
ACADS	ACADS
ADAM8	ADAM8
ADH1A	ADH1A
Anti-Müllerian_hormone_receptor	AMHR2
APLP1	APLP1
ATP2A3	ATP2A3
ATP5O	ATP5O
C3a_receptor	C3AR1
Complement_component_6	C6
CHRNE	CHRNE
Carnitine_palmitoyltransferase_I	CPT1B
Citrate_synthase	CS
DARS_(gene)	DARS
Sulfate_transporter	SLC26A2
Fumarylacetoacetate_hydrolase	FAH
FRZB	FRZB
FYB	FYB
UDP-glucose_4-epimerase	GALE
GM2A	GM2A
GNAL	GNAL
GPX2_(gene)	GPX2
Hydroxyacyl-Coenzyme_A_dehydrogenase	HADH
Galectin-2	LGALS2
MAFG	MAFG
MAN2C1	MAN2C1
MAN2A1	MAN2A1
MDH1	MDH1
MYH1	MYH1
NFKBIE	NFKBIE
NRCAM	NRCAM
ROR1	ROR1
GPR143	GPR143
PDK2	PDK2
Proenkephalin	PENK
PEX1	PEX1
PI4KB	PI4KB
POLD2	POLD2
Periplakin	PPL
PRSS8	PRSS8
Aldehyde_dehydrogenase_18_family,_member_A1	ALDH18A1
PYGB	PYGB
Reticulocalbin_2	RCN2
RGS1	RGS1
Retinaldehyde-binding_protein_1	RLBP1
SLC20A1	SLC20A1
SUPT4H1	SUPT4H1
TOP3A	TOP3A
USP1	USP1
VARS	VARS
SCG2	SCG2
SLBP	SLBP
SF3A2	SF3A2
UXT	UXT
PDXK	PDXK
EIF3G	EIF3G
Death_receptor_3	TNFRSF25
Membrane-bound_transcription_factor_site-1_protease	MBTPS1
TNFRSF18	TNFRSF18
TSC22D1	TSC22D1
EIF2B3	EIF2B3
PRPF4B	PRPF4B
CHRNA6	CHRNA6
UBA3	UBA3
KCNQ4	KCNQ4
S1PR2	S1PR2
TRIP12	TRIP12
TRIP10	TRIP10
CYP7B1	CYP7B1
H6PD	H6PD
Syndecan-3	SDC3
TOMM70A	TOMM70A
RAMP3	RAMP3
FSTL3	FSTL3
NET1	NET1
CAP1	CAP1
SIVA1	SIVA1
CAMKK2	CAMKK2
CELF2	CELF2
SRCAP	SRCAP
MAGED2	MAGED2
RIPK3	RIPK3
PIM2_(gene)	PIM2
CORO1A	CORO1A
RRAS2	RRAS2
RALY	RALY
PDS5B	PDS5B
PHF8	PHF8
JMJD6	JMJD6
PDS5A	PDS5A
HSPBP1	HSPBP1
NOC2L	NOC2L
Sec61_alpha_1	SEC61A1
SMARCAL1	SMARCAL1
Interleukin-21_receptor	IL21R
PCA3	PCA3
PDE11A	PDE11A
DDX47	DDX47
CCHCR1	CCHCR1
CEP55	CEP55
NAT10	NAT10
ZMIZ1	ZMIZ1
NAA15	NAA15
POLR2M	POLR2M
TXNDC5	TXNDC5
Dock8	DOCK8
PGAM5	PGAM5
R-spondin_1	RSPO1
AGRN	AGRN
MIR100	MIR100
MIR125A	MIR125A
MIR34B	MIR34B
ADCY8	ADCY8
PARP4	PARP4
RhoH	RHOH
B-cell_maturation_antigen	TNFRSF17
Biliverdin_reductase_A	BLVRA
Carbonic_anhydrase_III,_muscle_specific	CA3
Caspase_5	CASP5
CBR3	CBR3
Collagen,_type_VI,_alpha_3	COL6A3
EBF1	EBF1
Ephrin_A5	EFNA5
ELF1	ELF1
FGF5	FGF5
FOSB	FOSB
GDF2	GDF2
M1_(gene)	M1
HIST1H2BD	HIST1H2BD
HOXA13	HOXA13
HOXD10	HOXD10
SP110	SP110
Interleukin-9_receptor	IL9R
KCNJ8	KCNJ8
Laminin,_alpha_4	LAMA4
MAT1A	MAT1A
MLLT1	MLLT1
MSH5	MSH5
MYH6	MYH6
MYL3	MYL3
NDUFA9	NDUFA9
NPAT_(gene)	NPAT
NRD1	NRD1
CDK16	CDK16
POU2AF1	POU2AF1
PRM1	PRM1
PTPRE	PTPRE
RPS15	RPS15
RREB1	RREB1
SNRPB2	SNRPB2
SRP68	SRP68
SRPK2	SRPK2
SVIL	SVIL
Synapsin_2	SYN2
TIE1	TIE1
TRIO_(gene)	TRIO
Aldehyde_dehydrogenase_5_family,_member_A1	ALDH5A1
MKKS	MKKS
HIST1H2AB	HIST1H2AB
PEX3	PEX3
PARG	PARG
GMP_synthase	GMPS
DOK2	DOK2
PCSK7	PCSK7
ZW10	ZW10
RAB11B	RAB11B
ESPL1	ESPL1
UBAP2L	UBAP2L
Mannose_receptor	MRC2
AP1M2	AP1M2
ARPC4	ARPC4
PRMT3	PRMT3
AKAP8	AKAP8
TRAF3IP2	TRAF3IP2
SRSF10	SRSF10
DIDO1	DIDO1
ZWINT	ZWINT
Solute_carrier_organic_anion_transporter_family_member_2B1	SLCO2B1
COPZ1	COPZ1
RAB3GAP1	RAB3GAP1
KDM2A	KDM2A
CYFIP1	CYFIP1
Nucleoporin_210kDa	NUP210
SMG6	SMG6
RBM9	RBFOX2
ORC3	ORC3
SPDEF	SPDEF
NUPR1	NUPR1
MLH3	MLH3
CHMP2A	CHMP2A
UBE2S	UBE2S
UBE2T	UBE2T
RhoD	RHOD
DCDC2	DCDC2
ARFGAP1	ARFGAP1
CTNNBL1	CTNNBL1
Serine_racemase	SRR
MPP5	MPP5
MPGES-2	PTGES2
LINGO1	LINGO1
GRIN3B	GRIN3B
Prokineticin_receptor_2	PROKR2
AMER1	AMER1
APOBEC3D	APOBEC3D
Contactin_4	CNTN4
FNDC5	FNDC5
NCF1C	NCF1C
Aldolase_C	ALDOC
AMD1	AMD1
Aspartoacylase	ASPA
ATP5F1	ATP5F1
ATP6V0C	ATP6V0C
ATP6V1E1	ATP6V1E1
Calbindin_1	CALB1
CDH17	CDH17
CIRBP	CIRBP
CLCA1	CLCA1
CYP2C18	CYP2C18
CYP26A1	CYP26A1
Dihydrolipoyl_transacetylase	DLAT
EPHA7	EPHA7
Epiregulin	EREG
ESD_(gene)	ESD
GNAT2	GNAT2
3-Hydroxy-3-methylglutaryl-CoA_lyase	HMGCL
IBSP	IBSP
KLRB1	KLRB1
MMP16	MMP16
Peptidylglycine_alpha-amidating_monooxygenase	PAM
PDE6B	PDE6B
PFDN2	PFDN2
Kallistatin	SERPINA4
Neuroserpin	SERPINI1
PIGA	PIGA
PITX3	PITX3
PPP3CC	PPP3CC
PRKACG	PRKACG
PTPRB	PTPRB
PTPRN	PTPRN
RARRES3	RARRES3
RBBP6	RBBP6
OPN1LW	OPN1LW
S100A13	S100A13
SH3GL1	SH3GL1
STIL	STIL
SIM2	SIM2
Tachykinin_receptor_3	TACR3
Thyroxine-binding_globulin	SERPINA7
HIRA	HIRA
UBE2H	UBE2H
UQCRC1	UQCRC1
ZNF217	ZNF217
SYMPK	SYMPK
UBL4A	UBL4A
TKTL1	TKTL1
Transcription_initiation_protein_SPT3_homolog	SUPT3H
Alkylglycerone_phosphate_synthase	AGPS
FCN3	FCN3
KSR1	KSR1
SYNJ1	SYNJ1
H1FX	H1FX
N-myc-interactor	NMI
DYRK1B	DYRK1B
CYTH1	CYTH1
TXNL1	TXNL1
SEC22B	SEC22B
FEZ1	FEZ1
SAFB2	SAFB2
EIF5B	EIF5B
RASSF2	RASSF2
MTSS1	MTSS1
IST1	IST1
TOMM20	TOMM20
CALCOCO2	CALCOCO2
SEC23B	SEC23B
AHCYL1	AHCYL1
LYVE1	LYVE1
KRR1	KRR1
VASH1	VASH1
NT5C2	NT5C2
SPEN	SPEN
SNAPIN	SNAPIN
ORC6	ORC6
PPP1R15A	PPP1R15A
GABARAPL1	GABARAPL1
SUN2	SUN2
PTPN23	PTPN23
PNKD	PNKD
EHF_(gene)	EHF
Sialin	SLC17A5
AP3M1	AP3M1
SETD2	SETD2
FHOD1	FHOD1
KCNIP2	KCNIP2
TRPV2	TRPV2
Telomere-associated_protein_RIF1	RIF1
MEG3	MEG3
ASF1B	ASF1B
DCP1A	DCP1A
EIF5A2	EIF5A2
CHMP1B	CHMP1B
SENP2	SENP2
ZNF350	ZNF350
GRASP65	GORASP1
KLC2	KLC2
HM13	HM13
GPR98	GPR98
ABCC11	ABCC11
STARD13	STARD13
TIMM50	TIMM50
Sp7_transcription_factor	SP7
TRPM6	TRPM6
DYX1C1	DYX1C1
DCP2	DCP2
GSTK1	GSTK1
HIST2H4B	HIST2H4B
Adenylate_kinase_1	AK1
ARF5	ARF5
ARR3	ARR3
KIF1A	KIF1A
CD53	CD53
CHD1	CHD1
Chimerin_2	CHN2
CLTB	CLTB
COX4I1	COX4I1
CPM_(gene)	CPM
CRYGC	CRYGC
Mitochondrial_dicarboxylate_carrier	SLC25A10
DGKA	DGKA
DGUOK	DGUOK
DLX5	DLX5
DYNC1I1	DYNC1I1
EN2_(gene)	EN2
STX2	STX2
ETFA	ETFA
ACSL1	ACSL1
FGD1	FGD1
FNTA	FNTA
FOSL2	FOSL2
GABRA3	GABRA3
GLUD2	GLUD2
Free_fatty_acid_receptor_1	FFAR1
GYPB	GYPB
HARS	HARS
HMGN2	HMGN2
HOXB9	HOXB9
HSD17B3	HSD17B3
ICAM4	ICAM4
ITIH1	ITIH1
Keratin_13	KRT13
CHST6	CHST6
ORC5	ORC5
P4HA1	P4HA1
Propionyl-CoA_carboxylase	PCCB
PFDN5	PFDN5
PHKA2	PHKA2
PTPRO	PTPRO
RAC3	RAC3
KDM5A	KDM5A
RHAG	RHAG
ROBO2	ROBO2
40S_ribosomal_protein_S21	RPS21
Secretin_receptor	SCTR
CXCL6	CXCL6
ST3GAL4	ST3GAL4
Solute_carrier_organic_anion_transporter_family_member_1A2	SLCO1A2
SMARCA1	SMARCA1
SORD	SORD
SOS2_(gene)	SOS2
TRO_(gene)	TRO
Transcription_termination_factor,_RNA_polymerase_I	TTF1
UQCRC2	UQCRC2
Von_Hippel–Lindau_binding_protein_1	VBP1
Visinin-like_protein_1	VSNL1
NELFA	NELFA
ZIC2	ZIC2
SHFM1	SHFM1
PLA2G10	PLA2G10
STC2	STC2
OASL	OASL
DGAT1	DGAT1
IL18RAP	IL18RAP
TNFSF18	TNFSF18
TAF1B	TAF1B
ATP6V0D1	ATP6V0D1
Lecithin_retinol_acyltransferase	LRAT
UBE2L6	UBE2L6
Poor_Law_Amendment_Act_1834	PLAA
AIM2	AIM2
GTF2IRD1	GTF2IRD1
WTAP_(gene)	WTAP
SEC24C	SEC24C
ABCF2	ABCF2
SCAMP3	SCAMP3
InaD-like_protein	INADL
EIF3M	EIF3M
SEC23A	SEC23A
CREB3	CREB3
GLRX3	GLRX3
TSBP1	C6orf10
NEK6	NEK6
NEU3	NEU3
C-c_motif_chemokine_ligand_27	CCL27
POP1_(gene)	POP1
SEC61B	SEC61B
TPPP	TPPP
Citron_kinase	CIT
CEP250	CEP250
DIS3	DIS3
FNBP1	FNBP1
BOP1	BOP1
GTPBP4	GTPBP4
LPAR3	LPAR3
AKAP8L	AKAP8L
GNMT	GNMT
Drebrin-like	DBNL
BABAM1	BABAM1
PARVB	PARVB
Enah/Vasp-like	EVL
RTEL1	RTEL1
ZAK	ZAK
Sodium-coupled_neutral_amino_acid_transporter_2	SLC38A2
TRPM4	TRPM4
PSPC1	PSPC1
AMBRA1	AMBRA1
GSDMB	GSDMB
Leukotriene_B4_receptor_2	LTB4R2
SPHK2	SPHK2
Exosome_component_5	EXOSC5
MRPS22	MRPS22
CIAPIN1	CIAPIN1
TP53-inducible_glycolysis_and_apoptosis_regulator	C12orf5
TAOK1	TAOK1
NUCKS1	NUCKS1
N-acetylglucosamine-1-phosphate_transferase	GNPTAB
IPO4	IPO4
FBXO32	FBXO32
CYP2R1	CYP2R1
HIST1H2BA	HIST1H2BA
DOK7	DOK7
Prestin	SLC26A5
MIR34C	MIR34C
ARL2	ARL2
Asialoglycoprotein_receptor	ASGR2
ATP6V1B2	ATP6V1B2
ATP6AP1	ATP6AP1
BBS1	BBS1
BST1	BST1
PageDoesNotExist	BTD
BYSL	BYSL
CLCN2	CLCN2
Ciliary_neurotrophic_factor_receptor	CNTFR
Crystallin,_beta_A1	CRYBA1
CTNNA2	CTNNA2
Cathepsin_E	CTSE
Cathepsin_Z	CTSZ
DLX3	DLX3
FARSA_(gene)	FARSA
GALNT1	GALNT1
GOLGA3	GOLGA3
Glypican_1	GPC1
GSTM4	GSTM4
GSTT2	GSTT2
BRF1_(gene)	BRF1
ICA1	ICA1
IFI27	IFI27
KEL_(gene)	KEL
KIF22	KIF22
LMO7	LMO7
Lanosterol_synthase	LSS
MAN1A1	MAN1A1
Melanotransferrin	MFI2
Mucin_7	MUC7
TRIM37	TRIM37
NAP1L4	NAP1L4
NDUFV2	NDUFV2
PPA1	PPA1
PRKG2	PRKG2
RAB5B	RAB5B
RAPSN	RAPSN
DPF2	DPF2
RSU1	RSU1
SARS_(gene)	SARS
Nav1.8	SCN10A
CCL23	CCL23
SMTN	SMTN
SNX2	SNX2
SNTB2	SNTB2
Sepiapterin_reductase	SPR
SSX2	SSX2
SULT1A2	SULT1A2
SULT2B1	SULT2B1
TACC1	TACC1
TFAP4	TFAP4
TLE3	TLE3
TNNI1	TNNI1
Tripeptidyl_peptidase_II	TPP2
MAPKAPK3	MAPKAPK3
LHX3	LHX3
CLTCL1	CLTCL1
FZD1	FZD1
Liprin-alpha-1	PPFIA1
DGKZ	DGKZ
MPDZ	MPDZ
Concentrative_nucleoside_transporter_1	SLC28A1
RECQL5	RECQL5
STX8	STX8
RIN1	RIN1
CTR9	CTR9
NCAPD2	NCAPD2
THOC1	THOC1
ARPC1B	ARPC1B
RNF41	RNF41
Proteoglycan_4	PRG4
RAMP2	RAMP2
ANP32B	ANP32B
HBXIP	LAMTOR5
ARFGEF1	ARFGEF1
RABAC1	RABAC1
SPIN1	SPIN1
PACSIN2	PACSIN2
SHANK2	SHANK2
WAPAL	WAPAL
TBC1D1	TBC1D1
ZFPM2	ZFPM2
ATP6V0A2	ATP6V0A2
TMEFF2	TMEFF2
RAD54B	RAD54B
MTHFD1L	MTHFD1L
RAB11FIP5	RAB11FIP5
TBL2	TBL2
ZNF638	ZNF638
ATP6V0A4	ATP6V0A4
Cereblon	CRBN
Ninein	NIN
RTCB	RTCB
RTRAF	C14orf166
LUC7L3	LUC7L3
FBXW5	FBXW5
RNF216	RNF216
BANK1	BANK1
PI4K2A	PI4K2A
NHP2	NHP2
ATF7IP	ATF7IP
11-Sep	11-Sep
KDM3A	KDM3A
STIM2	STIM2
RNF213	RNF213
PTBP2	PTBP2
SRPRB	SRPRB
UBE2O	UBE2O
PRDM16	PRDM16
INF2	INF2
COPS7B	COPS7B
ACD_(gene)	ACD
LAS1L	LAS1L
SLX4	SLX4
RBM17	RBM17
ALG2	ALG2
BTBD14B	NACC1
UHRF2	UHRF2
LEO1	LEO1
CD109	CD109
Alpha-taxilin	TXLNA
KIF6	KIF6
NEIL2	NEIL2
HIST2H2AB	HIST2H2AB
MIR206	MIR206
MIR181A1	MIR181A1
MIR9-1	MIR9-1
ACOX1	ACOX1
ADCY2	ADCY2
ADCY7	ADCY7
ADCY9	ADCY9
ALPPL2	ALPPL2
ARCN1	ARCN1
ATP1B2	ATP1B2
ATP5J	ATP5J
AUP1	AUP1
ZFP36L1	ZFP36L1
C8A	C8A
CACNA1B	CACNA1B
CD8	CD8B
CDH4	CDH4
CENPC	CENPC
CKS2	CKS2
CMKLR1	CMKLR1
Collagen,_type_IX,_alpha_3	COL9A3
DFNA5	DFNA5
DHPS	DHPS
DPAGT1	DPAGT1
DSC1	DSC1
DUSP3	DUSP3
DUSP4	DUSP4
E2F5	E2F5
EIF2B1	EIF2B1
Protein_4.2	EPB42
AFF2	AFF2
FNTB	FNTB
GABRA6	GABRA6
GABRR1	GABRR1
Giantin	GOLGB1
CXCL3	CXCL3
GYPC	GYPC
TLX1	TLX1
HOXA7	HOXA7
ITIH2	ITIH2
MTF1	MTF1
NFIA	NFIA
OAZ1	OAZ1
P2RY6	P2RY6
PFKFB2	PFKFB2
PFN2	PFN2
PLA2G5	PLA2G5
PLCB4	PLCB4
PRIM2	PRIM2
PTPRS	PTPRS
RAB5C	RAB5C
SGCG	SGCG
SIX3	SIX3
THOP1	THOP1
TNNI2	TNNI2
UBE2G1	UBE2G1
UGCG	UGCG
TRIM26	TRIM26
CSRP3	CSRP3
YEATS4	YEATS4
CDK2AP1	CDK2AP1
HIST1H2BM	HIST1H2BM
HIST1H3E	HIST1H3E
GCM1	GCM1
API5	API5
LMO4	LMO4
EIF4G3	EIF4G3
WNT1-inducible-signaling_pathway_protein_3	WISP3
MTMR2	MTMR2
AP1S2	AP1S2
CACNA1G	CACNA1G
Regucalcin	RGN
GPR56	GPR56
NAPSA	NAPSA
UBE3C	UBE3C
CCP110	CCP110
DHX38	DHX38
TLK1	TLK1
CCS_(gene)	CCS
ARPC3	ARPC3
NUTF2	NUTF2
Aldo-keto_reductase_family_1,_member_A1	AKR1A1
BASP1	BASP1
KHDRBS3	KHDRBS3
CHL1	CHL1
NCKAP1	NCKAP1
CFHR3	CFHR3
Neuropathy_target_esterase	PNPLA6
6-Sep	6-Sep
TFIP11	TFIP11
POLR1A	POLR1A
HBP1	HBP1
CHMP4A	CHMP4A
CARD10	CARD10
CNOT7	CNOT7
CERS2	CERS2
Protein_Z-related_protease_inhibitor	SERPINA10
CDK12	CDK12
NLGN3	NLGN3
ANLN	ANLN
TMEM106B	TMEM106B
CC2D1A	CC2D1A
MOB1A	MOB1A
SLC22A11	SLC22A11
NKRF_(gene)	NKRF
SULF2	SULF2
YLPM1	YLPM1
C1GALT1	C1GALT1
RBM25	RBM25
PROK2	PROK2
SLC28A3	SLC28A3
ACBD3	ACBD3
Interleukin_25	IL25
TMEM43	TMEM43
Nucleoporin_85	NUP85
SPRY4	SPRY4
FAM175A	FAM175A
PHF6	PHF6
AKT1S1	AKT1S1
PPP1R9B	PPP1R9B
LNX1	LNX1
NKX2-3	NKX2-3
MIR106B	MIR106B
MIR1-1	MIR1-1
MIR93	MIR93
AARS_(gene)	AARS
ABCA2	ABCA2
ALDH1B1	ALDH1B1
ALOX15B	ALOX15B
APOBEC1	APOBEC1
ARVCF	ARVCF
Branched_chain_amino_acid_transaminase_1	BCAT1
HCN2	HCN2
Betacellulin	BTC
CD7	CD7
Cyclin-dependent_kinase_3	CDK3
3α-Hydroxysteroid_dehydrogenase	AKR1C4
CHRNA2	CHRNA2
CKMT1B	CKMT1B
Calponin_1	CNN1
CSTF3	CSTF3
BRINP1	BRINP1
DECR1	DECR1
ECHS1	ECHS1
EIF5	EIF5
FAU_(gene)	FAU
FBLN2	FBLN2
FGF3	FGF3
GABPB1	GABPB1
Glucagon_receptor	GCGR
Growth_hormone_2	GH2
GRB14	GRB14
Guanylate_cyclase_2C	GUCY2C
HPS1	HPS1
5-HT5A_receptor	HTR5A
IK_(gene)	IK
KCNJ3	KCNJ3
KLRC2	KLRC2
Lipocalin_1	LCN1
MCC_(gene)	MCC
MEIS2	MEIS2
NAB2	NAB2
ORM2	ORM2
CHMP1A	CHMP1A
Phytanoyl-CoA_dioxygenase	PHYH
PKNOX1	PKNOX1
Philippine_National_Oil_Company	PNOC
Exosome_component_9	EXOSC9
5-Sep	5-Sep
PTK7	PTK7
PTPRG	PTPRG
PYCR1	PYCR1
60S_ribosomal_protein_L38	RPL38
SAG_(gene)	SAG
Neutral_amino_acid_transporter_A	SLC1A4
SMS_(gene)	SMS
Small_nuclear_ribonucleoprotein_polypeptide_C	SNRPC
Sp4_transcription_factor	SP4
SPTBN2	SPTBN2
SRP9	SRP9
TBCD	TBCD
TBL1X	TBL1X
TCF20	TCF20
TNFAIP1	TNFAIP1
VIL1	VIL1
EIF4H	EIF4H
WNT10B	WNT10B
FZD7	FZD7
PSMG1	PSMG1
RNASET2	RNASET2
SNX3	SNX3
ADAM19	ADAM19
FGF18	FGF18
DDX18	DDX18
HIP1R	HIP1R
PSTPIP1	PSTPIP1
ATG12	ATG12
CNOT8	CNOT8
TECR	TECR
CHD1L	CHD1L
CEP57	CEP57
MAML1	MAML1
Dyslexia-associated_protein	KIAA0319
POM121	POM121
TELO2	TELO2
STAG1	STAG1
AHSA1	AHSA1
CLDN16	CLDN16
USP39	USP39
Nucleoporin_50	NUP50
Ectodysplasin_A_receptor	EDAR
DBF4	DBF4
ASCC3	ASCC3
KLK11	KLK11
DMC1_(gene)	DMC1
WDHD1	WDHD1
BAZ1A	BAZ1A
TNRC6B	TNRC6B
MPRIP	MPRIP
FAM120A	FAM120A
ANKS1A	ANKS1A
SUN1	SUN1
CABIN1	CABIN1
TRIM29	TRIM29
ANKRD1	ANKRD1
PHPT1	PHPT1
DNMT3L	DNMT3L
ZBTB7B	ZBTB7B
HSD17B12	HSD17B12
DCUN1D1	DCUN1D1
SSH1	SSH1
CHCHD3	CHCHD3
ELP3	ELP3
RNF114	RNF114
RCC2	RCC2
RAB25	RAB25
GBA3	GBA3
LSM2	LSM2
TMPRSS3	TMPRSS3
RBM15	RBM15
CENPH	CENPH
KCTD15	KCTD15
RMI1	RMI1
ANP32E	ANP32E
SHARPIN	SHARPIN
DYNLRB1	DYNLRB1
ATAD3B	ATAD3B
Sodium_bicarbonate_transporter-like_protein_11	SLC4A11
IL1F10	IL1F10
Lacritin	LACRT
FRMD7	FRMD7
DPP9	DPP9
CGB5	CGB5
H2AFV	H2AFV
MYL12B	MYL12B
